"","datacollection","standard_condition","standard_org","standard_perk","mreselfish","moreresp","moreupstan","orgbintere","investdonate","respleader","hirepres","mreselfish_re","standard_evalu_4items","standard_evalu_5items","standard_evalu_7items","standard_organization","standard_compensation","pltclideo","gender","yearbirth","countrybir","expeng","ethnicity","parented","bfrres","bfrthese","citytown","postalcode","honest","faminc","mturkhowm"
"1",1,5,1,2,5,3,3,3,5,3,4,3,3,3.4,3.42857142857143,1,2,4,2,1994,187,21,1,5,"1",2,"Bloomington","55438",1,"?",""
"2",1,2,0,2,5,3,2,2,6,2,5,3,2.5,3.2,3.28571428571429,0,2,4,2,1994,187,20,1,5,"1",2,"St. Paul","55104",1,"150000",""
"3",1,3,0,3,5,2,4,1,1,1,3,3,2.5,2.2,2.14285714285714,0,3,5,1,1994,187,20,1,5,"2",2,"St. Paul","55104",1,"150000",""
"4",1,5,1,2,5,3,3,2,1,2,1,3,2.75,2.4,2.14285714285714,1,2,4,2,1994,187,20,1,6,"0",2,"Eagan","55123",1,"90,000",""
"5",1,3,0,3,4,4,4,3,2,6,2,4,3.75,3.4,3.57142857142857,0,3,4,1,1992,151,5,6,5,"0",2,"saint paul","55104",1,"800,000",""
"6",1,4,1,1,3,5,5,5,4,5,4,5,5,4.8,4.71428571428571,1,1,4,1,1992,187,22,1,4,"0",2,"Lakeland","55043",1,"$150,000",""
"7",1,2,0,2,5,3,3,3,3,3,3,3,3,3,3,0,2,6,1,1993,111,17,3,4,"0",2,"Lake Elmo","55042",1,"200000",""
"8",1,3,0,3,7,3,6,1,1,1,1,1,2.75,2.4,2,0,3,4,2,1994,187,15,3,3,"0",1,"Marshfield","5449",1,"350,000",""
"9",1,5,1,2,5,3,2,2,2,2,2,3,2.5,2.4,2.28571428571429,1,2,6,2,1992,187,22,1,4,"0",2,"St. Paul","55105",1,"700,000",""
"10",1,3,0,3,6,4,3,3,2,3,2,2,3,2.8,2.71428571428571,0,3,6,2,1995,187,19,1,5,"0",2,"St. Paul","55104",1,"$1,000,000",""
"11",1,3,0,3,5,2,4,4,3,2,3,3,3.25,3.2,3,0,3,2,2,1993,187,21,1,4,"2",2,"St. Paul","55104",1,"200000",""
"12",1,1,0,1,5,3,5,2,2,2,1,3,3.25,3,2.57142857142857,0,1,4,1,1992,187,22,1,6,"0",2,"Long Lake","55356",1,"200,000",""
"13",1,6,1,3,6,2,3,3,3,2,3,2,2.5,2.6,2.57142857142857,1,3,5,1,1994,187,20,1,6,"0",2,"Maplewood","55117",2,"10000",""
"14",1,2,0,2,5,3,2,4,3,3,4,3,3,3,3.14285714285714,0,2,5,1,1992,187,22,1,6,"6",2,"St. Paul","55104",1,"400,000",""
"15",1,3,0,3,5,4,3,3,3,3,4,3,3.25,3.2,3.28571428571429,0,3,5,2,1994,187,20,1,4,"0",2,"Andover","55304",1,"$250000",""
"16",1,2,0,2,5,3,3,3,3,3,3,3,3,3,3,0,2,3,2,1993,187,21,3,4,"0",2,"Inver Grove Heights","55077",1,"35000",""
"17",1,2,0,2,6,2,1,4,4,2,1,2,2.25,2.6,2.28571428571429,0,2,4,2,1993,187,21,2,1,"0",2,"North Minneapolis","55411",1,"$24000",""
"18",1,1,0,1,4,4,4,5,7,5,6,4,4.25,4.8,5,0,1,2,1,1995,187,19,1,4,"0",2,"Eden Prairie","55347",1,"250000",""
"19",1,3,0,3,6,2,2,2,2,2,2,2,2,2,2,0,3,4,1,1986,187,28,4,3,"2",2,"Minneapolis","55411",1,"30000",""
"20",1,1,0,1,3,5,5,5,5,5,5,5,5,5,5,0,1,4,2,1994,187,20,2,4,"5",2,"Crystal","55422",1,"70000",""
"21",1,6,1,3,6,4,2,2,2,2,1,2,2.5,2.4,2.14285714285714,1,3,4,2,1995,187,19,1,5,"0",2,"Saint Paul","55105",1,"?",""
"22",1,4,1,1,4,4,4,4,4,4,4,4,4,4,4,1,1,4,1,1993,187,21,1,5,"0",2,"Glenview, IL","60026",1,"",""
