"","datacollection","condition","tipper_diresppers","tipper_gdmorlcons_re","tipper_closefrend_re","tipper_goodpers_re","tipper_personjudg","pltclideo","gender","yearbirth","countrybir","engexp","ethnicity","parented","beforeres","beforethes","citytown","postalcode","honest_A","faminc","mturkhowm"
"1",1,1,6,6,6,4,5.5,6,2,1992,187,22,1,5,"5",2,"shorewood","55331",1,"$300,000",""
"2",1,1,5,5,6,4,5,4,2,1994,187,0,1,5,"1",2,"St. Paul","55104",1,"150000",""
"3",1,0,1,4,4,2,2.75,4,1,1994,187,20,1,6,"0",2,"MAhtomedi","55115",1,"200000",""
"4",1,1,5,4,6,5,5,6,1,1993,187,21,1,6,"5",2,"St. Paul","55104",1,"250000",""
"5",1,0,1,3,3,2,2.25,4,2,1994,187,20,1,6,"0",2,"Eden Prairie","55346",1,"175,000",""
"6",1,0,3,5,5,4,4.25,4,2,1994,187,20,1,6,"0",2,"Eagan","55123",1,"90,000",""
"7",1,0,1,1,1,1,1,4,1,1992,151,5,6,5,"0",2,"saint paul","55104",1,"800,000",""
"8",1,1,5,4,5,4,4.5,5,1,1964,187,50,1,5,"0",2,"roseville","55113",1,"200000",""
"9",1,0,1,1,2,2,1.5,6,2,1993,117,17,0,4,"0",2,"Lake Elmo","55042",1,"200000",""
"10",1,1,4,2,4,3,3.25,4,1,1993,187,21,1,6,"0",2,"Brewster, MA","2631",1,"$500,000",""
"11",1,0,2,4,4,4,3.5,3,2,1992,187,22,1,5,"0",2,"St. Paul","55104",1,"Not sure",""
"12",1,0,1,2,2,2,1.75,4,1,1994,187,21,1,4,"0",2,"Maplewood","55119",1,"$100,000",""
"13",1,0,2,4,4,4,3.5,2,2,1993,187,21,1,4,"1",2,"St. Paul","55104",1,"200000",""
"14",1,1,2,2,3,1,2,2,2,1993,187,21,1,6,"0",2,"Saint Paul","55104",1,"400,000",""
"15",1,0,5,3,6,4,4.5,2,1,1993,187,21,1,5,"0",2,"St. Paul","55105",1,"75000",""
"16",1,1,7,4,5,5,5.25,4,1,1994,187,21,1,4,"0",2,"Richfield","55423",1,"90k",""
"17",1,0,2,4,3,4,3.25,4,1,1992,187,22,1,6,"0",2,"Long Lake","55356",1,"200000",""
"18",1,1,6,5,5,5,5.25,5,1,1994,187,20,1,6,"0",2,"Maplewood","55117",2,"10000",""
"19",1,0,5,4,6,5,5,6,1,1992,187,22,1,4,"0",2,"Blaine","55449",2,"125000",""
"20",1,0,1,4,4,4,3.25,1,2,1994,187,21,1,4,"0",2,"St. Paul","55104",1,"90,000",""
"21",1,1,3,3,4,3,3.25,5,1,1992,187,22,1,6,"6",2,"St. Paul","55104",1,"400,000",""
"22",1,0,2,2,3,3,2.5,6,2,1994,187,20,1,5,"0",2,"St. Paul","55104",2,"",""
"23",1,1,4,4,6,4,4.5,4,1,1994,187,20,1,4,"0",2,"st. paul","55104",1,"250,000",""
"24",1,1,4,5,5,3,4.25,7,1,1994,78,20,5,6,"1",2,"Ramsey","55303",2,"75,000",""
"25",1,0,5,5,3,2,3.75,4,1,1993,187,20,1,4,"2",2,"Hutchinson","55350",1,"90,000",""
"26",1,0,1,1,2,2,1.5,4,2,1995,187,19,1,6,"1",2,"St. Paul","55105",1,"200000",""
"27",1,1,3,4,4,4,3.75,4,2,1993,187,21,2,1,"0",2,"North Minnapolis","55411",1,"$24000",""
"28",1,0,1,2,4,2,2.25,6,2,1994,187,20,1,5,"0",2,"St. Paul","55105",2,"280000",""
"29",1,1,4,5,5,4,4.5,2,2,1993,187,22,1,4,"1",2,"Plymouth","55447",1,"200000",""
"30",1,1,3,2,2,2,2.25,4,2,1994,187,20,1,6,"0",2,"Woodbury","55125",1,"100,000",""
"31",1,0,3,5,6,5,4.75,1,2,1994,187,21,4,5,"0",2,"St. Paul","55119",1,"",""
"32",1,0,1,3,3,3,2.5,5,1,1993,187,22,1,4,"0",2,"St. Paul","55104",2,"90,000",""
"33",1,1,5,4,5,4,4.5,5,1,1992,187,22,1,5,"0",2,"St. Paul","55105",2,"30000",""
"34",1,1,7,6,7,6,6.5,4,2,1993,187,21,1,4,"0",2,"St. Paul","55104",1,"150000",""
"35",1,0,3,4,4,4,3.75,4,2,1993,187,21,1,4,"0",2,"Kenosha","53144",1,"120,000",""
"36",1,0,2,4,4,4,3.5,2,2,1994,187,20,2,6,"0",2,"St. Paul","55105",1,"70000",""
"37",1,1,6,7,7,5,6.25,5,1,1994,187,20,1,4,"0",2,"St. Paul","55105",1,"60000",""
"38",1,1,1,1,3,2,1.75,3,2,1995,187,20,1,6,"1",2,"Saint Paul","55104",1,"100000",""
"39",1,0,1,1,4,2,2,4,1,1995,187,19,1,5,"0",2,"St. Paul","55105",1,"200000",""
"40",1,1,2,2,3,4,2.75,3,1,1993,187,21,3,4,"1",2,"Edina","55436",1,"170,000",""
"41",1,0,4,7,7,5,5.75,4,1,1995,187,20,1,4,"0",NA,"St. Paul","55105",1,"100,000",""
"42",1,1,6,6,5,5,5.5,5,1,1994,187,21,1,4,"1",2,"Stillwater","55082",1,"$120,000",""
"43",1,1,1,2,2,2,1.75,4,2,1993,187,21,1,4,"0",2,"Minneapolis","55413",1,"20000",""
"44",1,0,4,4,4,4,4,6,1,1995,187,20,1,3,"0",2,"Zumbrota","55992",2,"45,000",""
"45",1,0,1,1,1,1,1,4,1,1992,126,22,4,4,"0",2,"Woodbury","55125",1,"150000",""
"46",1,0,4,2,6,4,4,1,2,1985,187,29,1,6,"2",1,"Saint Paul","55105",1,"148000",""
"47",1,0,4,4,4,3,3.75,6,1,1994,187,20,1,3,"3",2,"Forest Lake","55025",1,"100000",""
"48",1,1,3,5,5,4,4.25,4,1,1994,162,20,2,NA,"0",2,"Saint Paul, Minnesota","55105",1,"400,000",""
"49",1,1,4,4,5,4,4.25,3,2,1995,187,19,1,4,"0",2,"St. Paul","55113",1,"$65,000",""
"50",1,0,2,2,3,3,2.5,5,2,1994,187,20,1,6,"0",2,"St. Paul","55104",1,"$185,000",""
"51",1,1,5,4,5,4,4.5,4,2,1994,187,20,1,6,"0",2,"St. Paul","55105",1,"100000",""
"52",1,0,1,2,3,2,2,6,1,1995,187,19,1,6,"10",2,"St. Paul","55105",1,"400000",""
"53",1,0,1,1,3,3,2,6,1,1994,187,21,1,NA,"0",2,"St. Paul","55105",1,"$100,000",""
"54",1,0,1,4,4,4,3.25,5,1,1992,187,22,1,4,"0",2,"St. Paul","",1,"",""
"55",1,1,6,6,5,4,5.25,5,2,1993,128,13,1,5,"0",2,"Saint Paul","55105",2,"150000",""
"56",1,1,3,5,6,5,4.75,5,2,1995,187,19,1,6,"1",2,"Saint Paul MN","55104",1,"350,000",""
"57",1,0,2,4,4,4,3.5,6,2,1994,187,20,1,4,"0",2,"Hudson","54016",1,"100,000",""
"58",1,0,2,2,4,3,2.75,6,1,1994,187,20,1,5,"0",2,"De Pere","54115",1,"200000",""
"59",1,1,2,3,3,2,2.5,4,2,1995,187,19,1,6,"0",2,"St. Paul","55106",1,"600,000",""
"60",1,0,7,7,7,4,6.25,7,1,1995,187,20,3,6,"0",2,"Woodbury","55129",1,"180,000",""
"61",1,0,1,5,4,3,3.25,5,1,1993,187,21,1,6,"0",2,"Wayzata","55446",1,"300000",""
"62",1,0,1,1,4,4,2.5,6,2,1995,187,20,1,6,"1",2,"St. Paul","55116",1,"250000",""
"63",1,1,5,6,4,4,4.75,4,2,1993,187,21,1,4,"0",2,"St. Paul","55015",1,"160,000",""
"64",1,1,1,1,1,1,1,4,1,1990,187,22,1,6,"0",2,"st. paul","55105",1,"120,000",""
"65",1,0,7,6,6,6,6.25,6,1,1993,187,22,1,4,"0",2,"st. paul","55104",1,"x",""
"66",1,1,5,6,6,6,5.75,4,2,1994,187,21,1,5,"1",2,"Bloomington","55438",1,"?",""
"67",1,1,3,5,6,5,4.75,5,1,1994,187,20,1,5,"2",2,"St. Paul","55104",1,"150000",""
"68",1,1,3,5,6,4,4.5,4,2,1992,192,15,2,3,"0",2,"burnsville","55337",1,"",""
"69",1,0,7,7,7,7,7,4,1,1993,185,21,2,3,"1",2,"Eden Prairie","55347",1,"3,100,000.00",""
"70",1,0,4,4,4,4,4,4,2,1991,187,23,1,5,"",2,"St. Paul","55401",1,"I don't know",""
"71",1,0,5,5,4,4,4.5,4,1,1993,187,0,1,4,"0",2,"Saint Paul, MN","55105",1,"100000",""
"72",1,0,3,4,4,4,3.75,4,1,1992,187,22,1,4,"0",2,"Lakeland","55043",1,"150,000",""
"73",1,1,2,3,4,3,3,6,1,1993,187,21,1,5,"2",2,"St. Paul","55116",1,"200,000",""
"74",1,1,1,1,7,4,3.25,3,1,1993,97,22,4,4,"3",2,"St. Paul","55105",1,"$60,000",""
"75",1,0,2,3,4,3,3,4,1,1994,187,20,1,6,"0",2,"Apple Valley","55124",1,"90000",""
"76",1,1,5,5,3,3,4,2,2,1993,187,21,1,5,"0",2,"St. Paul","55105",2,"130,000",""
"77",1,1,1,4,4,3,3,6,1,1990,187,24,1,5,"1",2,"Hanover","55341",1,">100000",""
"78",1,0,1,1,1,1,1,4,2,1994,187,15,3,3,"0",2,"Marshfield","54449",2,"350,000",""
"79",1,1,3,2,6,3,3.5,6,2,1992,187,22,1,4,"0",2,"St. Paul","55105",1,"$700,000",""
"80",1,0,1,1,2,1,1.25,5,2,1993,187,21,1,5,"0",2,"Dubuque","52003",1,"$500,000",""
"81",1,1,5,5,4,3,4.25,6,2,1995,187,19,1,5,"0",2,"St. Paul","55104",1,"$1,000,000",""
"82",1,1,2,4,6,4,4,6,2,1994,187,20,1,5,"0",2,"eagan","55122",1,"200,000+",""
"83",1,1,7,6,7,4,6,2,2,1993,187,21,1,5,"1",2,"Lakeville","55044",1,"325,000",""
"84",1,0,2,3,4,3,3,2,1,1993,187,21,1,4,"0",2,"Roseville","55113",1,"75000",""
"85",1,1,4,3,5,4,4,4,1,1993,187,21,1,4,"0",2,"St Paul","55102",1,"",""
"86",1,1,3,4,5,4,4,5,2,1994,187,20,1,NA,"1",1,"Andover","55304",1,"$250000",""
"87",1,0,6,5,6,6,5.75,5,1,1991,187,24,1,6,"0",2,"Saint Paul","55104",2,"N/A",""
"88",1,0,2,3,4,3,3,3,2,1994,187,20,1,4,"0",2,"St. Paul","55105",1,"$1000000",""
"89",1,0,2,5,4,3,3.5,3,2,1994,187,20,1,6,"1",2,"Apple Valley","55124",1,"$180,000",""
"90",1,1,6,5,5,4,5,3,2,1993,187,21,3,4,"0",2,"Inver Grove Heights","55077",1,"32000",""
"91",1,0,6,6,7,4,5.75,2,1,1995,187,19,1,4,"0",2,"Eden Prairie","55347",1,"250000",""
"92",1,0,2,2,3,3,2.5,4,1,1986,187,28,4,3,"2",2,"Minneapolis","55411",1,"30000",""
"93",1,1,5,4,5,4,4.5,6,2,1994,189,21,4,6,"2",2,"Saint Paul","55105",1,"70,000",""
"94",1,1,1,7,6,4,4.5,4,2,1994,187,20,2,4,"5",2,"Crystal","55422",1,"70000",""
"95",1,0,2,3,6,3,3.5,4,2,1995,187,19,1,5,"0",2,"Saint Paul","55105",1,"?",""
"96",1,1,6,5,5,8,6,4,1,1993,187,21,1,5,"0",2,"Glenview, IL","60026",1,"",""
"97",1,0,3,4,4,4,3.75,3,2,1986,187,28,1,4,"1",2,"Maple Grove","55311",1,"175,000",""
"98",1,1,2,2,6,3,3.25,4,1,1994,187,21,1,4,"0",2,"Minneapolis","55417",1,"120,000",""
"99",1,1,6,6,6,5,5.75,4,2,1993,36,15,2,5,"0",2,"Saint Paul","55105",1,"50000",""
"100",1,1,6,7,7,6,6.5,6,2,1993,187,21,1,6,"1",2,"St.Paul","55105",1,"NA",""
