"","datacollection","moral_condition","mc_accuracy","mc_ps_accuracy","mc_dishonesty","mc_ps_dishonesty","mc_punitiveness","mc_ps_punitiveness","new_con_intentmisr_A","new_ps_intentmisr_A","new_con_justoself","new_ps_justoself","pltclideo","gender","yearbirth","countrybir","engexp","ethnicity","parented","beforeres","beforethes","citytown","postalcode","honest_A","faminc","mturkhowm"
"1",1,1,2.5,3.5,4.33333333333333,7,4,5.5,5,7,5,6,6,2,1992,187,22,1,5,"5",2,"shorewood","55331",1,"$300,000",""
"2",1,1,2,1,6,6.66666666666667,4,5.5,6,7,5,4,4,2,1994,187,0,1,5,"1",2,"St. Paul","55104",1,"150000",""
"3",1,1,2,4,4,4.33333333333333,1.5,2.5,1,2,4,6,4,1,1994,187,20,1,6,"0",2,"MAhtomedi","55115",1,"200000",""
"4",1,1,1,1,5.33333333333333,6.66666666666667,4.5,5.5,6,7,7,5,6,1,1993,187,21,1,6,"5",2,"St. Paul","55104",1,"250000",""
"5",1,1,1,1,6.33333333333333,6.66666666666667,5.5,6,6,7,5,3,4,2,1994,187,20,1,6,"0",2,"Eden Prairie","55346",1,"175,000",""
"6",1,1,3,1,3.66666666666667,7,2.5,5.5,5,7,3,2,4,2,1994,187,20,1,6,"0",2,"Eagan","55123",1,"90,000",""
"7",1,1,2.5,2,2.66666666666667,5.66666666666667,1,3.5,2,7,5,6,4,1,1992,151,5,6,5,"0",2,"saint paul","55104",1,"800,000",""
"8",1,1,4.5,2,4,3.33333333333333,3.5,5,3,6,4,4,5,1,1964,187,50,1,5,"0",2,"roseville","55113",1,"200000",""
"9",1,1,3,2,4.33333333333333,3.66666666666667,3.5,4.5,4,5,4,4,6,2,1993,117,17,0,4,"0",2,"Lake Elmo","55042",1,"200000",""
"10",1,1,2,1.5,3.66666666666667,4.33333333333333,3,4,5,7,6,6,4,1,1993,187,21,1,6,"0",2,"Brewster, MA","2631",1,"$500,000",""
"11",1,1,3.5,3.5,4,5.33333333333333,1,1.5,3,5,5,4,3,2,1992,187,22,1,5,"0",2,"St. Paul","55104",1,"Not sure",""
"12",1,1,1,1.5,1.66666666666667,6,3,4,7,7,7,5,4,1,1994,187,21,1,4,"0",2,"Maplewood","55119",1,"$100,000",""
"13",1,1,2,1,4.33333333333333,6,4,4.5,5,6,4,6,2,2,1993,187,21,1,4,"1",2,"St. Paul","55104",1,"200000",""
"14",1,1,2,1,5.66666666666667,4.66666666666667,1,3.5,2,6,6,3,2,2,1993,187,21,1,6,"0",2,"Saint Paul","55104",1,"400,000",""
"15",1,1,2,2,5,4.66666666666667,5,6,5,6,3,2,2,1,1993,187,21,1,5,"0",2,"St. Paul","55105",1,"75000",""
"16",1,1,2,1,3.33333333333333,7,1,3.5,1,6,6,3,4,1,1994,187,21,1,4,"0",2,"Richfield","55423",1,"90k",""
"17",1,1,4,1.5,4,4.66666666666667,2.5,5,2,6,4,2,4,1,1992,187,22,1,6,"0",2,"Long Lake","55356",1,"200000",""
"18",1,1,2,1,5.33333333333333,6.66666666666667,1.5,1.5,5,7,6,6,5,1,1994,187,20,1,6,"0",2,"Maplewood","55117",2,"10000",""
"19",1,1,1,1,6,6,3.5,3.5,6,7,4,4,1,2,1994,187,21,1,4,"0",2,"St. Paul","55104",1,"90,000",""
"20",1,1,1,1,6,6,5.5,5.5,6,6,2,2,5,1,1992,187,22,1,6,"6",2,"St. Paul","55104",1,"400,000",""
"21",1,1,3,2,4,4.66666666666667,4,4,5,6,3,2,6,2,1994,187,20,1,5,"0",2,"St. Paul","55104",2,"",""
"22",1,1,3.5,2,3.66666666666667,4.33333333333333,1,2.5,5,7,7,7,4,1,1994,187,20,1,4,"0",2,"st. paul","55104",1,"250,000",""
"23",1,1,3,2,3.66666666666667,6,1,1,5,6,5,4,7,1,1994,78,20,5,6,"1",2,"Ramsey","55303",2,"75,000",""
"24",1,1,2,3.5,5.33333333333333,5.66666666666667,2,2,6,5,4,4,4,1,1993,187,20,1,4,"2",2,"Hutchinson","55350",1,"90,000",""
"25",1,1,2.5,1,3.33333333333333,5.33333333333333,4,4,6,7,3,4,4,2,1995,187,19,1,6,"1",2,"St. Paul","55105",1,"200000",""
"26",1,1,3,1,4,7,6,6.5,6,7,4,3,4,2,1993,187,21,2,1,"0",2,"North Minnapolis","55411",1,"$24000",""
"27",1,1,1,1,3.66666666666667,4,3,3.5,5,5,6,5,6,2,1994,187,20,1,5,"0",2,"St. Paul","55105",2,"280000",""
"28",1,1,1.5,1.5,7,7,4.5,5.5,7,6,2,2,2,2,1993,187,22,1,4,"1",2,"Plymouth","55447",1,"200000",""
"29",1,1,1.5,1,5.66666666666667,7,5,6,6,1,5,1,4,2,1994,187,20,1,6,"0",2,"Woodbury","55125",1,"100,000",""
"30",1,1,2,1,5,4.66666666666667,5,7,7,7,3,1,1,2,1994,187,21,4,5,"0",2,"St. Paul","55119",1,"",""
"31",1,1,2.5,2,3,3,2,3,3,5,5,5,5,1,1993,187,22,1,4,"0",2,"St. Paul","55104",2,"90,000",""
"32",1,1,2.5,2,3.33333333333333,4.33333333333333,3.5,4,6,7,5,4,5,1,1992,187,22,1,5,"0",2,"St. Paul","55105",2,"30000",""
"33",1,1,1,1,4.66666666666667,5,3.5,7,5,7,4,1,4,2,1993,187,21,1,4,"0",2,"St. Paul","55104",1,"150000",""
"34",1,1,3,2,5.33333333333333,6,4,4.5,5,6,6,6,4,2,1993,187,21,1,4,"0",2,"Kenosha","53144",1,"120,000",""
"35",1,1,2,2,4.33333333333333,4,3.5,4,5,5,5,4,2,2,1994,187,20,2,6,"0",2,"St. Paul","55105",1,"70000",""
"36",1,1,3.5,1,3.66666666666667,5.66666666666667,2.5,6,3,5,4,5,5,1,1994,187,20,1,4,"0",2,"St. Paul","55105",1,"60000",""
"37",1,1,2,1.5,3.66666666666667,3.33333333333333,1,2.5,2,2,6,5,3,2,1995,187,20,1,6,"1",2,"Saint Paul","55104",1,"100000",""
"38",1,1,2,2.5,4.33333333333333,3.33333333333333,3,2.5,4,6,3,3,4,1,1995,187,19,1,5,"0",2,"St. Paul","55105",1,"200000",""
"39",1,1,1,1,4,6.66666666666667,5.5,5,5,7,4,2,3,1,1993,187,21,3,4,"1",2,"Edina","55436",1,"170,000",""
