"","datacollection","condition","htxfair","htxgood","poltclid","gender","yearbirth","countrybir","englishexp","ethnicity","parented","befstudies","citytown","postalcode","honestansw","familyinc","mturkhowm"
"1",1,1,4,4,4,1,1992,151,5,6,5,"0","saint paul","55104",1,"800,000",""
"2",1,2,4,6,2,2,1993,187,21,1,6,"0","Saint Paul","55104",1,"400,000",""
"3",1,2,3,4,5,1,1993,187,22,1,4,"0","St. Paul","55104",2,"90,000",""
"4",1,1,5,4,2,2,1993,187,21,1,4,"0","Ellendale","56026",1,"$60,000",""
"5",1,2,3,3,3,1,1995,187,19,1,6,"0","Waconia","55387",2,"$300,000",""
"6",1,2,3,5,4,2,1992,192,15,2,3,"0","burnsville","55337",NA,"35000",""
"7",1,1,4,3,4,1,1993,187,20,1,4,"1","Hutchinson","55350",1,"90,000",""
"8",1,2,5,5,1,2,1994,187,21,4,5,"0","St. Paul","55119",1,"",""
"9",1,1,3,2,5,1,1995,187,19,1,5,"0","Saint Paul","55104",1,"250,000",""
"10",1,2,4,5,4,2,1993,187,21,1,4,"1","Elmhurst","60126",1,"",""
"11",1,1,5,3,4,2,1994,187,20,1,5,"1","St. Paul","55104",1,"150000",""
"12",1,2,5,5,5,1,1991,187,24,1,6,"0","Saint Paul","55104",1,"N/A",""
"13",1,1,7,2,6,2,1993,187,21,1,6,"1","St.Paul","55105",1,"NA",""
"14",1,1,4,4,4,2,1993,187,21,2,6,"0 Marketing","Minnetonka","55343",2,"200000",""
"15",1,1,2,5,5,2,1995,187,19,1,4,"0","St. Paul","55015",2,"700000",""
"16",1,1,2,3,4,1,1994,187,21,1,4,"1","Sait Paul","55105",1,"285,000+",""
"17",1,1,5,6,5,1,1964,187,50,1,5,"0","roseville","55113",1,"200000",""
"18",1,2,5,3,5,1,1994,187,20,1,6,"0","Maplewood","55117",2,"10000",""
"19",1,1,6,6,6,2,1992,187,22,1,6,"0","Saint Paul","55104",1,"80000",""
"20",1,2,5,5,5,2,1994,187,20,1,6,"0","St. Paul","55104",1,"$185,000",""
"21",1,1,4,5,4,2,1994,187,20,1,6,"0","St. Paul","55105",1,"100000",""
"22",1,1,3,3,6,1,1993,187,22,1,4,"0","St. Paul","55104",1,"x",""
"23",1,2,5,4,4,2,1991,187,23,1,5,"0","St. Paul","55305",1,"I don't know",""
"24",1,1,3,5,1,2,1994,187,21,1,4,"0","St. Paul","55104",1,"90,000",""
"25",1,2,4,3,2,2,1993,187,22,1,0,"1","Plymouth","55447",1,"200000",""
"26",1,2,3,6,4,1,1994,162,20,2,6,"0","Saint Paul, Minnesota","55105",1,"400,000",""
"27",1,2,3,2,6,2,1994,187,20,1,4,"0","Hudson","54016",1,"$100,000",""
"28",1,2,4,3,6,2,1995,187,19,1,5,"0","St. Paul","55104",1,"$1,000,000",""
"29",1,2,3,3,4,1,1986,187,28,4,3,"2","Minneapolis","55411",1,"30000",""
"30",1,1,4,5,4,2,1993,36,15,2,5,"0","Saint Paul","55105",1,"50000",""
"31",1,2,4,3,6,2,1995,187,20,1,5,"0","St. Paul","55105",1,"100,000",""
"32",1,2,3,5,4,2,1993,187,21,1,4,"0","St. Paul","55015",1,"160,000",""
"33",1,2,3,6,6,2,1993,111,17,3,4,"0","Lake Elmo","55042",1,"200000",""
"34",1,1,2,5,2,2,1993,187,21,1,4,"0","St. Paul","55104",1,"200000",""
"35",1,1,5,4,4,2,1995,187,19,1,6,"0","St. Paul","55105",1,"200000",""
"36",1,2,5,6,3,2,1995,187,20,1,6,"1","Saint Paul","55104",1,"100000",""
"37",1,1,5,4,4,2,1994,187,20,1,5,"0","St. Paul","55104",1,"100,000",""
"38",1,2,3,4,4,1,1994,187,20,1,6,"0","Apple Valley","55124",1,"90000",""
"39",1,1,7,2,2,2,1993,187,21,1,5,"1","Lakeville","55044",1,"325,000",""
"40",1,1,4,3,4,2,1994,187,20,2,4,"5","Crystal","55422",1,"60,000",""
"41",1,2,1,6,4,1,1992,126,22,4,4,"0","Woodbury","55125",1,"150000",""
"42",1,1,4,5,7,1,1992,187,22,1,6,"2","St. Paul, MN","55105",1,"500000",""
"43",1,2,2,2,6,1,1993,187,21,1,6,"5","St. Paul","55104",2,"250000",""
"44",1,1,6,2,5,1,1992,187,22,1,6,"5","St. Paul","55104",1,"400,000",""
"45",1,1,5,5,4,2,1995,187,19,1,5,"0","Saint Paul","55105",1,"?",""
"46",1,2,1,3,4,2,1995,187,20,1,4,"0","St. Paul","55105",1,"100,000",""
"47",1,2,4,4,5,2,1992,187,22,1,5,"1","St. Paul","55105",1,"120000",""
"48",1,2,3,5,4,1,1994,187,21,1,4,"0","Maplewood","55119",1,"$100,000",""
"49",1,1,4,3,4,1,1994,187,21,1,4,"0","Richfield","55423",2,"90k",""
"50",1,2,6,6,2,2,1994,187,20,2,6,"0","St.Paul","55105",2,"70000",""
"51",1,2,2,3,6,2,1993,187,21,1,5,"0","White Bear Lake","55110",1,"180,000",""
"52",1,2,3,5,6,1,1994,187,21,1,4,"2","St. Paul","55105",1,"$100,000",""
"53",1,1,5,3,6,1,1993,187,21,1,5,"2","St. Paul","55116",1,"$200,000",""
"54",1,2,2,5,5,2,1993,187,21,1,5,"0","Dubuque","52003",1,"$500,000",""
"55",1,2,4,3,5,1,1992,187,22,1,5,"0","St. Paul","55105",2,"30000",""
"56",1,1,6,1,5,1,1994,187,20,1,3,"3","Forest Lake","55025",1,"100000",""
"57",1,1,5,4,4,2,1995,187,19,1,4,"0","Hutchinson","55350",1,"US $175,000",""
"58",1,2,5,3,6,1,1993,187,21,1,5,"10","Mendota Heights","55120",1,"$275,000",""
"59",1,1,4,7,3,1,1993,97,22,4,4,"3","St. Paul","55105",1,"$60,000",""
"60",1,2,4,5,2,2,1993,187,21,1,5,"0","St. Paul","55105",2,"130,000",""
"61",1,1,4,4,6,2,1994,187,21,4,6,"2","Saint Paul","55105",1,"70,000",""
"62",1,1,6,5,6,1,1994,187,21,1,6,"0","Saint Paul","55105",1,"130000",""
"63",1,1,4,5,3,2,1995,187,19,1,4,"0","St. Paul","55113",1,"$65,000",""
"64",1,2,1,3,6,1,1993,187,21,1,6,"0","Wayzata","55446",1,"300000",""
"65",1,1,6,4,4,1,1994,187,20,1,6,"0","Mahtomedi","55115",1,"200000",""
"66",1,2,4,4,2,1,1993,187,21,1,4,"0","Roseville","55113",1,"75000",""
"67",1,1,2,6,4,2,1993,187,21,1,4,"0","St. Paul","55104",1,"150000",""
"68",1,1,2,5,3,1,1993,187,21,3,4,"0","Edina","55436",1,"170,000",""
"69",1,2,4,6,5,2,1993,128,13,1,5,"0","Saint Paul","55105",2,"150000",""
"70",1,1,5,4,5,1,1994,187,20,1,5,"1","Woodbury","55129",1,"100,000",""
"71",1,1,3,5,6,2,1992,187,22,1,5,"5","Shorewood","55331",1,"$300,000",""
"72",1,2,2,2,3,2,1994,187,20,1,6,"1","Apple Valley","55124",2,"$180,000",""
"73",1,2,3,6,3,2,1993,187,21,3,4,"0","Inver Grove Heights","55077",1,"35,000",""
"74",1,1,6,1,6,1,1990,187,24,1,4,"0","St. Paul","55104",1,"110000",""
"75",1,1,5,3,4,2,1995,187,19,1,6,"0","St. Paul","55106",1,"600,000",""
"76",1,1,4,2,4,1,1992,187,22,1,6,"0","st. paul","55105",1,"120,000",""
"77",1,2,2,4,6,1,1990,187,24,1,5,"1","Hanover","55341",2,">100000",""
