"","datacollection","BIH_executives","BIH_vandals","poltclid","gender","yearbirth","countrybir","englishexp","ethnicity","parented","befstudies","citytown","postalcode","honestansw","familyinc","mturkhowm"
"1",1,0,10,4,1,1992,151,5,6,5,"0","saint paul","55104",1,"800,000",""
"2",1,15,10,2,2,1993,187,21,1,6,"0","Saint Paul","55104",1,"400,000",""
"3",1,50,80,5,1,1993,187,22,1,4,"0","St. Paul","55104",2,"90,000",""
"4",1,10,20,2,2,1993,187,21,1,4,"0","Ellendale","56026",1,"$60,000",""
"5",1,30,15,3,1,1995,187,19,1,6,"0","Waconia","55387",2,"$300,000",""
"6",1,35,65,4,2,1992,192,15,2,3,"0","burnsville","55337",NA,"35000",""
"7",1,25,60,4,1,1993,187,20,1,4,"1","Hutchinson","55350",1,"90,000",""
"8",1,0,0,1,2,1994,187,21,4,5,"0","St. Paul","55119",1,"",""
"9",1,10,5,5,1,1995,187,19,1,5,"0","Saint Paul","55104",1,"250,000",""
"10",1,0,0,4,2,1993,187,21,1,4,"1","Elmhurst","60126",1,"",""
"11",1,20,20,4,2,1994,187,20,1,5,"1","St. Paul","55104",1,"150000",""
"12",1,50,95,5,1,1991,187,24,1,6,"0","Saint Paul","55104",1,"N/A",""
"13",1,0,0,6,2,1993,187,21,1,6,"1","St.Paul","55105",1,"NA",""
"14",1,11,11,4,2,1993,187,21,2,6,"0 Marketing","Minnetonka","55343",2,"200000",""
"15",1,0,0,5,2,1995,187,19,1,4,"0","St. Paul","55015",2,"700000",""
"16",1,5,1,4,1,1994,187,21,1,4,"1","Sait Paul","55105",1,"285,000+",""
"17",1,10,0,5,1,1964,187,50,1,5,"0","roseville","55113",1,"200000",""
"18",1,20,35,5,1,1994,187,20,1,6,"0","Maplewood","55117",2,"10000",""
"19",1,20,20,6,2,1992,187,22,1,6,"0","Saint Paul","55104",1,"80000",""
"20",1,50,10,5,2,1994,187,20,1,6,"0","St. Paul","55104",1,"$185,000",""
"21",1,0,0,4,2,1994,187,20,1,6,"0","St. Paul","55105",1,"100000",""
"22",1,80,40,6,1,1993,187,22,1,4,"0","St. Paul","55104",1,"x",""
"23",1,0,0,4,2,1991,187,23,1,5,"0","St. Paul","55305",1,"I don't know",""
"24",1,1,1,1,2,1994,187,21,1,4,"0","St. Paul","55104",1,"90,000",""
"25",1,10,10,2,2,1993,187,22,1,0,"1","Plymouth","55447",1,"200000",""
"26",1,30,70,4,1,1994,162,20,2,6,"0","Saint Paul, Minnesota","55105",1,"400,000",""
"27",1,0,80,6,2,1994,187,20,1,4,"0","Hudson","54016",1,"$100,000",""
"28",1,10,50,6,2,1995,187,19,1,5,"0","St. Paul","55104",1,"$1,000,000",""
"29",1,3,5,4,1,1986,187,28,4,3,"2","Minneapolis","55411",1,"30000",""
"30",1,0,30,4,2,1993,36,15,2,5,"0","Saint Paul","55105",1,"50000",""
"31",1,0,0,6,2,1995,187,20,1,5,"0","St. Paul","55105",1,"100,000",""
"32",1,0,0,4,2,1993,187,21,1,4,"0","St. Paul","55015",1,"160,000",""
"33",1,10,100,6,2,1993,111,17,3,4,"0","Lake Elmo","55042",1,"200000",""
"34",1,10,20,2,2,1993,187,21,1,4,"0","St. Paul","55104",1,"200000",""
"35",1,20,15,4,2,1995,187,19,1,6,"0","St. Paul","55105",1,"200000",""
"36",1,40,30,3,2,1995,187,20,1,6,"1","Saint Paul","55104",1,"100000",""
"37",1,10,10,4,2,1994,187,20,1,5,"0","St. Paul","55104",1,"100,000",""
"38",1,40,10,4,1,1994,187,20,1,6,"0","Apple Valley","55124",1,"90000",""
"39",1,13,6,2,2,1993,187,21,1,5,"1","Lakeville","55044",1,"325,000",""
"40",1,0,0,4,2,1994,187,20,2,4,"5","Crystal","55422",1,"60,000",""
"41",1,0,0,4,1,1992,126,22,4,4,"0","Woodbury","55125",1,"150000",""
"42",1,40,10,7,1,1992,187,22,1,6,"2","St. Paul, MN","55105",1,"500000",""
"43",1,25,40,6,1,1993,187,21,1,6,"5","St. Paul","55104",2,"250000",""
"44",1,0,10,5,1,1992,187,22,1,6,"5","St. Paul","55104",1,"400,000",""
"45",1,30,40,4,2,1995,187,19,1,5,"0","Saint Paul","55105",1,"?",""
"46",1,25,50,4,2,1995,187,20,1,4,"0","St. Paul","55105",1,"100,000",""
"47",1,50,50,5,2,1992,187,22,1,5,"1","St. Paul","55105",1,"120000",""
