"","Consent","Pre_Perc_1","Pre_Cert","C1","Post_Perc_1","Post_Cert","Check","Check_4_TEXT","See","Pet_Agree","Pet_Conv","Pie_Agree","Pie_Conv","Age","Gender","Party","Educ","Occ","Live","ConditionOne","ConditionTwo","ConditionThree","ConditionFour","ConditionFive","Gender_female","Education_college","Party_democrat"
"1",1,97,7,8,97,7,4,"I am paying attention.",5,NA,NA,NA,NA,3,1,1,2,2,1,1,NA,NA,NA,NA,0,1,1
"2",1,78,2,NA,73,2,4,"I am paying attention",2,5,4,NA,NA,2,2,1,1,2,1,NA,NA,1,NA,NA,1,0,1
"3",1,80,5,NA,97,7,4,"I am paying attention.",1,NA,NA,7,7,2,1,2,1,2,1,NA,1,NA,NA,NA,0,0,0
"4",1,95,6,NA,97,7,4,"I am paying attention.",1,NA,NA,7,7,3,2,1,2,2,1,NA,1,NA,NA,NA,1,1,1
"5",1,94,6,8,94,6,4,"I am paying attention",5,NA,NA,NA,NA,2,1,2,2,2,1,1,NA,NA,NA,NA,0,1,0
"6",1,97,7,8,97,7,4,"I am paying attention.",5,NA,NA,NA,NA,2,2,1,2,2,1,1,NA,NA,NA,NA,1,1,1
"7",1,30,4,NA,30,4,4,"I am paying attention.",2,2,2,NA,NA,2,1,4,1,2,1,NA,NA,1,NA,NA,0,0,0
"8",1,99,7,NA,97,7,4,"I am paying attention.",4,7,7,7,7,2,2,1,2,2,1,NA,NA,NA,1,NA,1,1,1
"9",1,90,7,NA,97,7,4,"I am paying attention.",1,NA,NA,7,7,3,2,1,2,2,1,NA,1,NA,NA,NA,1,1,1
"10",1,95,6,NA,97,7,4,"I am paying attention",5,NA,NA,NA,NA,2,2,1,2,2,1,NA,NA,NA,NA,1,1,1,1
"11",1,90,7,NA,93,5,4,"I am paying attention",4,2,4,7,6,2,1,1,3,2,1,NA,NA,NA,1,NA,0,1,1
"12",1,73,4,NA,97,6,4,"I am paying attention",4,6,6,6,6,2,2,3,2,2,1,NA,NA,NA,NA,1,1,1,0
"13",1,99,7,NA,99,6,4,"I am paying attention.",1,NA,NA,7,7,2,2,1,4,2,1,NA,1,NA,NA,NA,1,1,1
"14",1,97,5,NA,97,5,4,"I am paying attention.",4,4,1,6,6,2,1,3,4,2,1,NA,NA,NA,NA,1,0,1,0
"15",1,98,7,NA,97,7,4,"I am paying attention.",2,7,6,NA,NA,2,1,1,2,2,1,NA,NA,NA,NA,1,0,1,1
"16",1,85,5,NA,84,5,4,"I am paying attention.",1,NA,NA,7,7,2,2,1,2,2,1,NA,1,NA,NA,NA,1,1,1
"17",1,71,3,8,72,3,4,"I am paying attention",5,NA,NA,NA,NA,2,2,3,2,2,1,1,NA,NA,NA,NA,1,1,0
"18",1,40,2,8,40,2,4,"I am paying attention.",5,NA,NA,NA,NA,1,1,2,2,2,1,1,NA,NA,NA,NA,0,1,0
"19",1,98,6,NA,97,7,4,"I am paying attention.",4,1,1,7,6,2,1,1,2,2,1,NA,NA,NA,1,NA,0,1,1
"20",1,97,7,NA,97,7,4,"I am paying attention.",4,7,7,7,7,2,1,1,2,2,1,NA,NA,NA,1,NA,0,1,1
"21",1,72,3,NA,75,3,4,"I am paying attention.",2,7,4,NA,NA,2,1,3,1,2,1,NA,NA,1,NA,NA,0,0,0
"22",1,25,5,NA,76,5,4,"I am paying attention.",4,5,5,5,6,1,2,2,1,2,1,NA,NA,NA,1,NA,1,0,0
"23",1,95,7,NA,97,7,4,"I am paying attention.",4,4,5,7,7,2,1,1,2,2,1,NA,NA,NA,NA,1,0,1,1
"24",1,96,5,8,90,6,4,"I am paying attention.",5,NA,NA,NA,NA,2,1,1,2,2,1,1,NA,NA,NA,NA,0,1,1
"25",1,100,7,NA,100,7,4,"I am paying attention",2,7,6,NA,NA,4,2,3,2,2,1,NA,NA,1,NA,NA,1,1,0
"26",1,71,6,NA,90,5,4,"I am paying attention.",1,NA,NA,5,5,2,1,3,1,2,1,NA,1,NA,NA,NA,0,0,0
"27",1,94,7,NA,95,7,4,"I am paying attention",4,7,7,NA,7,2,1,1,1,2,1,NA,NA,NA,1,NA,0,0,1
"28",1,90,6,8,90,6,4,"I am paying attention.",5,NA,NA,NA,NA,2,2,3,2,2,1,1,NA,NA,NA,NA,1,1,0
"29",1,72,1,NA,85,1,4,"I am paying attention",2,4,5,NA,NA,2,2,1,2,2,1,NA,NA,1,NA,NA,1,1,1
"30",1,34,5,NA,97,5,4,"I am paying attention.",1,NA,NA,5,6,2,1,2,1,2,1,NA,NA,NA,NA,1,0,0,0
"31",1,50,6,NA,97,4,4,"I am paying attention.",1,NA,NA,1,4,2,1,1,2,2,1,NA,1,NA,NA,NA,0,1,1
"32",1,62,5,NA,63,5,4,"I am paying attention",2,5,5,NA,NA,2,2,3,2,2,1,NA,NA,1,NA,NA,1,1,0
"33",1,87,3,NA,87,3,4,"I am paying attention",2,3,2,NA,NA,2,2,3,3,2,1,NA,NA,1,NA,NA,1,1,0
"34",1,51,5,NA,97,5,4,"I am paying attention",1,NA,NA,1,3,2,2,2,1,2,1,NA,1,NA,NA,NA,1,0,0
"35",1,80,5,NA,97,7,4,"I am paying attention.",4,2,2,5,5,2,1,3,2,2,1,NA,NA,NA,1,NA,0,1,0
"36",1,97,7,NA,97,7,4,"I am paying attention",2,5,5,NA,NA,1,1,1,2,2,1,NA,NA,NA,1,NA,0,1,1
"37",1,98,7,8,96,7,4,"I am paying attention.",5,NA,NA,NA,NA,2,1,1,2,2,1,1,NA,NA,NA,NA,0,1,1
"38",1,73,2,NA,87,5,4,"I am paying attention.",4,6,6,5,5,2,2,3,3,2,1,NA,NA,NA,1,NA,1,1,0
"39",1,98,7,NA,97,7,4,"I am paying attention.",4,7,6,7,7,3,1,1,3,2,1,NA,NA,NA,1,NA,0,1,1
"40",1,97,7,NA,97,7,4,"I am paying attention",4,6,6,7,7,2,1,2,2,2,1,NA,NA,NA,1,NA,0,1,0
"41",1,93,7,NA,97,7,4,"I am paying attention",1,NA,NA,7,7,3,1,2,1,2,1,NA,1,NA,NA,NA,0,0,0
"42",1,96,6,NA,97,6,4,"I am paying attention.",1,NA,NA,7,4,3,1,1,4,2,1,NA,1,NA,NA,NA,0,1,1
"43",1,99,6,8,99,5,4,"I am paying attention.",5,NA,NA,NA,NA,2,1,2,1,2,1,1,NA,NA,NA,NA,0,0,0
"44",1,80,3,NA,97,7,4,"I am paying attention",1,NA,NA,6,4,2,1,1,1,2,1,NA,1,NA,NA,NA,0,0,1
"45",1,40,1,NA,28,1,4,"I am paying attention",2,3,3,NA,NA,3,2,2,1,2,1,NA,NA,1,NA,NA,1,0,0
"46",1,100,7,8,100,7,4,"I am paying attention.",5,NA,NA,NA,NA,2,2,3,2,2,1,1,NA,NA,NA,NA,1,1,0
"47",1,50,5,NA,50,5,4,"I am paying attention.",2,6,5,NA,NA,2,1,1,3,2,1,NA,NA,1,NA,NA,0,1,1
"48",1,55,4,NA,52,3,4,"I am paying attention.",3,NA,NA,NA,NA,2,1,1,2,2,1,NA,1,NA,NA,NA,0,1,1
"49",1,91,6,NA,97,7,4,"I am paying attention.",2,4,4,NA,NA,2,2,2,2,2,1,NA,NA,NA,NA,1,1,1,0
"50",1,72,5,NA,97,7,4,"I am paying attention.",4,4,7,4,7,2,1,2,2,2,1,NA,NA,NA,NA,1,0,1,0
"51",1,91,6,NA,97,7,4,"I am paying attention.",1,NA,NA,6,5,2,2,2,2,2,1,NA,1,NA,NA,NA,1,1,0
"52",1,94,6,NA,97,7,4,"I am paying attention.",4,1,1,7,7,3,1,3,2,2,1,NA,NA,NA,NA,1,0,1,0
"53",1,81,3,NA,83,3,4,"I am paying attention.",2,5,5,NA,NA,3,2,2,1,2,1,NA,NA,1,NA,NA,1,0,0
"54",1,70,1,NA,90,1,4,"I am paying attention.",1,NA,NA,1,2,2,2,3,1,2,1,NA,1,NA,NA,NA,1,0,0
"55",1,62,5,NA,65,5,4,"I am paying attention.",4,6,6,6,5,2,2,2,2,2,1,NA,NA,NA,1,NA,1,1,0
"56",1,41,2,NA,94,6,4,"I am paying attention",1,NA,NA,4,3,2,2,2,2,2,1,NA,1,NA,NA,NA,1,1,0
"57",1,92,4,8,92,4,4,"I am paying attention.",5,NA,NA,NA,NA,2,2,3,2,2,1,1,NA,NA,NA,NA,1,1,0
"58",1,65,1,8,65,1,4,"I am paying attention",5,NA,NA,NA,NA,4,1,2,3,2,1,1,NA,NA,NA,NA,0,1,0
"59",1,90,7,8,94,6,4,"I am paying attention",5,NA,NA,NA,NA,2,2,3,2,2,1,1,NA,NA,NA,NA,1,1,0
"60",1,96,6,NA,94,7,4,"I am paying attention.",2,1,3,NA,NA,3,1,1,2,2,1,NA,NA,NA,1,NA,0,1,1
"61",1,98,5,NA,97,6,4,"I am paying attention",4,4,2,7,6,2,1,3,1,2,1,NA,NA,NA,NA,1,0,0,0
"62",1,95,6,NA,70,4,4,"I am paying attention.",2,6,4,NA,NA,2,1,3,1,2,1,NA,NA,1,NA,NA,0,0,0
"63",1,97,5,NA,97,7,4,"I am paying attention.",1,NA,NA,7,7,1,1,3,1,2,1,NA,1,NA,NA,NA,0,0,0
"64",1,98,3,NA,80,1,4,"I am paying attention.",2,7,7,NA,NA,2,2,1,1,2,1,NA,NA,1,NA,NA,1,0,1
"65",1,98,6,NA,97,7,4,"I am paying attention",2,2,3,NA,NA,3,1,1,2,2,1,NA,NA,NA,NA,1,0,1,1
"66",1,85,5,NA,95,6,4,"I am paying attention.",1,NA,NA,4,5,1,1,3,2,2,1,NA,1,NA,NA,NA,0,1,0
"67",1,95,6,NA,97,7,4,"I am paying attention.",4,1,1,7,7,2,1,2,3,2,1,NA,NA,NA,1,NA,0,1,0
"68",1,60,3,NA,39,3,4,"I am paying attention.",2,4,3,NA,NA,2,2,2,2,2,1,NA,NA,1,NA,NA,1,1,0
"69",1,65,2,NA,97,6,4,"I am paying attention.",4,2,3,6,5,2,2,1,1,2,1,NA,NA,NA,NA,1,1,0,1
"70",1,95,6,8,95,6,4,"I am paying attention.",5,NA,NA,NA,NA,2,1,1,1,2,1,1,NA,NA,NA,NA,0,0,1
"71",1,95,6,NA,97,7,4,"I am paying attention.",4,2,1,6,6,3,1,3,2,2,1,NA,NA,NA,NA,1,0,1,0
"72",1,70,5,NA,97,7,4,"I am paying attention",1,NA,NA,6,7,2,2,1,1,2,1,NA,1,NA,NA,NA,1,0,1
"73",1,40,6,NA,95,4,4,"I am paying attention",4,1,1,1,1,2,2,3,2,2,1,NA,NA,NA,NA,1,1,1,0
"74",1,60,3,NA,30,3,4,"I am paying attention",2,6,7,NA,NA,4,2,2,1,1,1,NA,NA,1,NA,NA,1,0,0
"75",1,83,6,8,90,7,4,"I am paying attention",5,NA,NA,NA,NA,2,1,1,1,2,1,1,NA,NA,NA,NA,0,0,1
"76",1,70,5,NA,35,5,4,"I am paying attention.",2,2,2,NA,NA,1,1,3,1,2,1,NA,NA,1,NA,NA,0,0,0
"77",1,61,3,8,40,3,4,"""I am paying attention""",5,NA,NA,NA,NA,4,2,1,1,2,1,1,NA,NA,NA,NA,1,0,1
"78",1,71,5,NA,95,6,4,"I am paying attention",1,NA,NA,7,7,2,2,3,2,2,1,NA,1,NA,NA,NA,1,1,0
"79",1,97,7,NA,97,7,4,"I am paying attention.",4,1,1,7,7,4,1,1,4,2,1,NA,NA,NA,1,NA,0,1,1
