"","participant","condition","age","gender","dog","trolley","wallet","plane","resume","kitten","vignettes","relaxed","angry","happy","sad","afraid","depressed","disgusted","upset","confused"
"1",1,0,21,0,6,9,6,9,8,9,7.83333333333333,9,1,10,2,1,1,1,1,1
"2",2,1,19,0,4,3,9,7,9,5,6.16666666666667,16,2,14,3,0,0,0,2,1
"3",3,0,20,0,3,3,9,6,3,4,4.66666666666667,8,1,11,7,1,8,1,8,1
"4",4,1,25,0,9,1,5,3,6,3,4.5,10,0,20,0,0,0,0,0,5
"5",5,0,19,0,8,3,8,9,9,9,7.66666666666667,10,0,12,6,0,0,0,0,4
"6",6,1,19,0,3,2,4,4,9,9,5.16666666666667,12,1,11,2,2,4,0,4,4
"7",7,1,23,0,6,0,6,5,3,3,3.83333333333333,11,0,11,0,0,1,0,0,7
"8",8,0,19,0,9,3,9,9,7,9,7.66666666666667,10,0,18,1,0,0,0,0,0
"9",9,0,21,0,9,6,8,5,9,9,7.66666666666667,18,0,17,1,1,3,1,1,1
"10",10,1,20,0,6,3,5,3,5,5,4.5,16,4,8,2,2,2,1,1,3
"11",11,0,19,0,9,3,3,8,4,9,6,13,1,13,1,1,1,1,1,3
"12",12,1,24,0,8,1,3,8,2,9,5.16666666666667,16,2,16,5,3,1,3,3,6
"13",13,0,20,0,7,3,9,5,9,9,7,7,0,2,8,2,3,0,3,0
"14",14,1,20,0,5,2,9,8,6,7,6.16666666666667,7,0,15,1,4,0,0,0,2
"15",15,0,21,1,4,0,5,6,3,8,4.33333333333333,16,0,10,0,1,1,1,0,10
"16",16,1,19,0,4,1,3,7,2,2,3.16666666666667,14,0,17,1,0,0,0,0,1
"17",17,0,19,0,4,1,3,4,6,6,4,15,0,16,0,0,0,0,0,0
"18",18,0,19,0,9,5,3,8,6,9,6.66666666666667,17,0,20,1,1,1,1,1,1
"19",19,1,19,0,9,5,8,7,5,9,7.16666666666667,14,2,14,1,1,3,1,2,2
"20",20,0,21,0,8,3,8,6,7,9,6.83333333333333,9,1,9,1,1,4,2,0,4
"21",21,1,20,1,1,1,2,7,7,9,4.5,13,2,12,2,4,4,4,4,7
"22",22,1,22,0,8,4,5,6,3,8,5.66666666666667,11,1,15,1,1,1,1,1,1
"23",23,0,20,0,8,0,5,7,3,8,5.16666666666667,18,1,20,3,0,2,0,2,1
"24",24,1,20,0,6,1,4,3,3,8,4.16666666666667,11,14,5,17,14,15,9,13,17
"25",25,0,19,0,9,2,4,2,6,9,5.33333333333333,18,2,19,1,3,2,0,0,7
"26",26,0,19,1,4,0,5,8,3,9,4.83333333333333,15,8,14,10,2,7,0,6,10
"27",27,1,19,0,7,4,5,4,4,5,4.83333333333333,15,2,14,3,2,1,0,1,4
"28",28,1,20,1,3,0,3,9,4,9,4.66666666666667,11,6,7,2,4,10,1,4,5
"29",29,1,28,0,8,0,6,6,8,7,5.83333333333333,7,1,16,1,1,1,1,1,9
"30",30,0,19,0,8,6,2,9,3,9,6.16666666666667,4,1,13,1,1,1,1,1,1
"31",31,0,21,0,6,3,9,9,6,9,7,10,0,10,0,4,0,0,0,9
"32",32,1,20,1,9,3,5,6,3,9,5.83333333333333,18,7,18,2,1,1,1,1,4
"33",33,0,22,1,7,2,7,4,3,5,4.66666666666667,15,2,12,4,7,6,1,1,2
"34",34,1,20,0,6,3,6,9,3,6,5.5,16,2,10,3,3,3,3,3,4
"35",35,0,21,0,9,3,1,6,4,8,5.16666666666667,11,1,18,1,1,1,1,1,1
"36",36,1,21,1,6,1,8,9,6,9,6.5,16,2,13,3,2,10,0,0,3
"37",37,0,20,1,1,0,5,9,6,9,5,14,4,14,3,1,2,2,1,5
"38",38,0,20,1,3,0,0,0,3,9,2.5,9,16,12,8,3,2,1,1,20
"39",39,1,21,1,3,2,3,9,3,9,4.83333333333333,17,3,16,4,0,13,0,0,0
"40",40,1,20,0,3,0,0,1,2,3,1.5,20,8,19,14,12,5,12,14,11
