"","participant","condition","age","gender","dog","trolley","wallet","plane","resume","kitten","vignettes","relaxed","angry","happy","sad","afraid","depressed","disgusted","upset","confused"
"1",247,0,20,0,3,1,4,3,5,6,3.66666666666667,8,4,17,2,1,1,8,1,1
"2",97,0,20,0,4,1,7,2,7,7,4.66666666666667,14,2,12,1,2,2,9,6,8
"3",172,0,18,0,2,2,9,7,5,5,5,10,8,3,6,0,0,4,0,3
"4",133,0,20,0,9,3,6,3,9,8,6.33333333333333,11,4,11,4,0,0,11,5,11
"5",90,0,18,0,9,4,9,9,9,9,8.16666666666667,1,17,1,16,1,2,21,17,1
"6",213,0,18,0,9,3,8,3,9,8,6.66666666666667,7,10,17,7,1,12,1,6,4
"7",48,0,18,0,9,6,9,4,2,3,5.5,21,0,16,0,0,0,0,0,0
"8",224,0,20,0,9,4,9,6,7,8,7.16666666666667,17,2,9,2,2,3,6,2,7
"9",227,0,21,0,9,3,9,5,8,9,7.16666666666667,3,3,3,18,1,21,1,1,9
"10",173,0,18,0,9,3,9,8,9,9,7.83333333333333,16,1,11,1,1,1,7,6,7
"11",195,0,21,0,5,1,9,9,9,9,7,14,0,17,0,0,0,13,0,5
"12",63,0,19,0,6,1,5,8,5,5,5,14,1,5,1,1,1,5,1,5
"13",110,0,18,0,9,3,6,9,2,9,6.33333333333333,12,3,16,6,16,2,5,9,8
"14",240,0,18,0,9,3,9,6,8,6,6.83333333333333,14,4,11,5,4,2,4,2,9
"15",250,0,18,0,7,2,9,4,8,8,6.33333333333333,7,3,12,10,3,3,13,6,11
"16",153,0,18,0,9,3,7,3,2,9,5.5,14,4,14,4,4,4,8,3,20
"17",80,0,22,0,3,3,9,9,9,6,6.5,4,0,18,14,17,2,4,3,4
"18",105,0,18,0,7,3,9,7,6,9,6.83333333333333,1,16,0,21,10,13,21,20,9
"19",127,0,18,0,5,3,6,4,7,8,5.5,14,3,12,1,2,1,1,4,4
"20",125,0,18,0,9,2,7,9,8,9,7.33333333333333,19,0,20,0,0,0,5,0,6
"21",7,0,19,0,9,4,6,9,4,9,6.83333333333333,8,0,16,0,1,1,14,0,14
"22",123,0,18,0,9,2,8,5,8,9,6.83333333333333,7,7,14,10,1,7,1,6,1
"23",28,0,21,0,9,3,8,7,8,8,7.16666666666667,7,17,4,19,14,17,20,17,3
"24",92,0,18,0,6,4,9,9,6,7,6.83333333333333,6,4,8,3,1,5,9,11,14
"25",170,0,21,0,4,2,6,9,9,6,6,13,0,16,0,0,0,0,0,0
"26",126,0,19,0,9,0,3,9,7,9,6.16666666666667,2,11,5,15,15,17,21,21,12
"27",150,0,20,0,9,6,7,9,8,9,8,5,13,10,6,11,5,9,0,0
"28",216,0,18,0,9,3,9,9,9,9,8,2,18,1,13,16,4,21,21,17
"29",174,0,19,0,9,2,9,9,9,9,7.83333333333333,14,0,21,0,0,0,14,7,7
"30",19,0,20,0,9,2,6,4,6,7,5.66666666666667,10,1,11,11,2,8,17,16,17
"31",155,0,18,0,9,7,8,9,9,9,8.5,8,0,14,3,0,3,0,1,1
"32",60,0,18,0,1,0,6,9,4,5,4.16666666666667,8,0,11,0,0,0,0,0,0
"33",204,0,21,0,9,0,9,3,9,9,6.5,21,0,21,0,0,0,0,0,0
"34",248,0,18,0,7,3,9,9,9,9,7.66666666666667,0,5,2,4,0,0,12,9,0
"35",165,0,22,0,7,3,8,9,8,9,7.33333333333333,16,1,13,7,1,6,0,2,3
"36",210,0,20,0,9,9,3,9,9,9,8,14,1,5,1,1,1,4,0,1
"37",111,0,19,0,9,6,5,9,6,8,7.16666666666667,6,13,4,12,5,5,19,10,15
"38",188,0,19,0,9,3,9,8,8,9,7.66666666666667,15,0,0,7,0,5,7,2,0
"39",194,0,18,0,9,5,9,6,9,9,7.83333333333333,14,1,11,0,4,0,12,4,18
"40",167,0,18,0,9,2,7,8,5,9,6.66666666666667,3,9,3,5,5,1,16,16,5
"41",178,0,21,0,3,1,7,5,8,5,4.83333333333333,10,2,10,2,0,2,15,7,0
"42",77,0,18,0,8,3,9,7,9,8,7.33333333333333,12,2,14,4,1,2,9,5,5
"43",91,0,18,0,9,5,4,7,6,9,6.66666666666667,6,0,10,3,9,2,2,4,1
"44",109,0,18,0,4,2,6,3,5,6,4.33333333333333,10,6,10,12,6,2,12,8,10
"45",201,0,20,0,3,2,6,9,3,5,4.66666666666667,6,2,16,4,8,2,2,11,6
"46",218,0,20,0,9,1,2,7,9,8,6,16,2,18,1,6,4,9,6,14
"47",71,0,18,0,8,3,9,9,9,9,7.83333333333333,13,0,11,1,0,0,13,1,13
"48",163,0,20,0,8,3,7,7,7,9,6.83333333333333,9,3,11,3,2,2,16,14,14
"49",121,0,18,0,9,3,2,9,7,9,6.5,11,11,20,20,11,4,11,19,15
"50",21,0,20,0,9,8,6,9,6,9,7.83333333333333,15,0,11,2,0,0,6,0,3
"51",22,0,20,0,9,3,5,9,7,8,6.83333333333333,10,19,3,8,21,8,21,21,21
"52",53,0,20,0,7,3,6,5,2,9,5.33333333333333,18,1,10,14,1,7,18,1,3
"53",249,0,19,0,8,3,9,7,8,5,6.66666666666667,1,1,1,1,2,1,12,2,5
"54",72,0,20,0,9,5,9,9,6,9,7.83333333333333,12,0,17,0,0,0,5,0,1
"55",148,0,19,0,9,2,6,6,5,6,5.66666666666667,11,1,13,3,2,2,7,2,1
"56",164,0,18,0,9,3,9,6,3,6,6,4,4,10,14,4,15,6,4,10
"57",199,0,21,0,6,2,9,9,6,6,6.33333333333333,10,1,16,2,1,2,2,2,2
"58",44,0,19,0,6,0,9,9,9,9,7,15,1,13,0,1,0,0,0,2
"59",146,0,19,0,6,3,9,9,9,9,7.5,12,4,9,5,1,1,10,1,1
"60",36,0,20,0,8,2,5,7,7,8,6.16666666666667,16,2,9,6,2,2,4,3,1
"61",67,0,19,0,7,2,9,8,6,7,6.5,10,2,7,13,2,11,13,6,1
"62",209,0,18,0,9,1,6,8,7,9,6.66666666666667,12,1,12,2,2,1,13,1,7
"63",79,0,19,0,9,4,9,7,9,9,7.83333333333333,11,1,8,1,1,0,7,1,1
"64",234,0,18,0,9,2,9,6,6,8,6.66666666666667,10,2,13,8,1,11,1,1,6
"65",30,0,20,0,9,4,5,6,6,9,6.5,8,11,11,11,11,11,14,14,15
"66",114,0,21,0,8,4,5,8,6,8,6.5,14,0,9,0,1,1,1,1,5
"67",239,0,19,0,9,7,5,6,7,8,7,16,11,11,11,15,2,17,11,16
"68",42,0,18,0,9,4,6,9,4,3,5.83333333333333,9,11,1,14,0,14,21,21,17
"69",62,0,20,0,5,2,9,6,9,3,5.66666666666667,20,0,13,3,0,NA,1,0,9
"70",108,0,18,0,9,3,9,6,6,9,7,8,1,15,0,2,0,0,0,0
"71",184,0,19,0,3,6,9,9,9,6,7,15,0,15,7,2,0,2,0,0
"72",106,0,22,0,8,1,9,9,6,9,7,9,4,11,1,1,4,11,1,1
"73",87,0,19,0,9,8,4,9,6,9,7.5,4,4,4,5,1,1,17,1,17
"74",135,0,20,0,9,3,9,8,8,9,7.66666666666667,14,2,10,13,6,10,4,1,1
"75",207,0,18,0,9,3,9,3,9,9,7,19,1,18,1,1,1,1,1,6
"76",193,0,21,0,6,3,9,6,9,9,7,11,1,17,3,1,1,19,10,20
"77",220,0,25,0,3,6,6,5,4,4,4.66666666666667,8,0,10,10,6,15,15,8,16
"78",185,0,21,0,3,0,9,6,5,9,5.33333333333333,16,0,11,0,0,0,0,0,0
"79",189,0,20,0,7,3,5,7,5,6,5.5,12,13,6,0,0,0,11,13,6
"80",16,0,21,0,1,6,3,9,9,3,5.16666666666667,9,9,0,12,0,1,3,0,0
"81",11,0,19,1,9,5,9,9,9,9,8.33333333333333,18,1,19,1,2,0,0,0,2
"82",208,0,19,1,2,8,9,9,9,9,7.66666666666667,16,16,16,16,16,11,13,11,4
"83",214,0,22,1,6,0,6,3,3,9,4.5,3,1,6,1,1,1,7,1,14
