"","participant","condition","age","gender","dog","trolley","wallet","plane","resume","kitten","relaxed","angry","happy","sad","afraid","depressed","disgusted","upset","confused","vignette"
"1",3,1,19,1,6,3,6,5,6,7,2,13,1,1,2,2,20,20,20,5.5
"2",5,1,19,0,7,5,6,7,6,5,16,5,13,5,5,5,20,5,16,6
"3",7,0,19,0,7,3,6,7,5,4,15,5,6,14,9,1,21,8,21,5.33333333333333
"4",9,0,21,1,7,2,6,6,6,7,7,1,10,0,8,0,18,3,17,5.66666666666667
"5",10,1,19,1,7,3,6,7,6,7,0,4,0,0,8,5,21,13,5,6
"6",11,1,19,0,5,4,7,3,3,7,12,5,5,5,5,5,13,6,13,4.83333333333333
"7",13,0,20,0,7,4,5,6,5,7,11,1,1,2,2,3,20,5,15,5.66666666666667
"8",14,0,20,0,4,1,7,7,6,7,17,2,13,2,2,2,12,1,2,5.33333333333333
"9",15,0,20,0,2,3,6,7,5,4,2,4,0,0,0,14,20,12,18,4.5
"10",16,0,19,1,3,2,7,6,6,7,2,2,3,10,3,6,19,6,20,5.16666666666667
"11",17,1,20,0,7,6,7,7,7,7,6,5,7,9,7,7,20,5,20,6.83333333333333
"12",18,1,23,0,7,2,7,5,7,7,1,5,1,9,11,8,21,21,15,5.83333333333333
"13",19,0,20,1,6,5,7,7,7,7,1,14,4,16,4,4,15,8,18,6.5
"14",20,0,20,0,7,4,7,7,7,7,0,0,0,7,0,11,21,0,0,6.5
"15",23,0,18,0,7,4,1,7,3,7,20,1,11,1,1,1,21,21,1,4.83333333333333
"16",24,0,22,1,6,1,2,7,6,7,10,0,18,0,0,0,13,0,0,4.83333333333333
"17",25,0,22,0,5,4,7,7,6,7,17,2,11,2,2,2,16,2,3,6
"18",27,1,19,0,6,4,7,6,5,7,5,1,1,10,5,7,21,13,14,5.83333333333333
"19",28,1,21,0,6,7,6,6,6,7,0,0,0,16,16,5,21,5,18,6.33333333333333
"20",29,0,27,1,1,1,7,7,7,5,11,15,11,7,5,5,15,15,11,4.66666666666667
"21",30,0,19,1,7,1,4,5,5,7,17,11,3,15,11,11,17,12,20,4.83333333333333
"22",34,0,18,1,7,5,7,6,4,5,7,3,9,1,1,2,21,1,20,5.66666666666667
"23",35,0,21,1,5,4,6,5,7,7,16,1,13,3,4,3,14,4,15,5.66666666666667
"24",36,1,19,1,2,1,4,6,7,1,1,1,6,0,0,4,16,0,11,3.5
"25",37,1,20,0,4,4,7,7,6,7,8,7,3,20,7,3,20,12,8,5.83333333333333
"26",39,1,18,1,7,2,5,4,6,7,2,0,0,13,5,18,21,15,8,5.16666666666667
"27",40,0,24,0,6,5,5,7,4,5,9,0,0,0,0,3,14,0,4,5.33333333333333
"28",41,1,21,0,7,4,7,7,7,7,16,2,8,2,2,2,20,2,20,6.5
"29",42,1,21,0,7,3,4,6,4,4,4,4,4,4,4,9,20,7,14,4.66666666666667
"30",43,0,19,1,6,4,7,7,7,7,11,11,10,21,0,0,21,0,21,6.33333333333333
"31",45,1,21,1,6,3,4,6,5,6,6,1,2,2,2,2,20,4,16,5
"32",46,1,19,0,7,4,7,7,7,7,9,1,1,1,15,1,21,5,21,6.5
"33",47,1,23,1,7,6,7,7,7,7,0,11,0,12,6,6,22,11,14,6.83333333333333
"34",50,0,18,1,7,4,2,5,3,7,9,2,7,8,10,14,18,17,16,4.66666666666667
"35",51,1,19,0,6,5,6,6,7,6,10,1,1,1,4,1,14,1,2,6
"36",52,1,51,0,7,2,7,7,4,5,10,1,1,1,1,1,20,12,17,5.33333333333333
"37",53,0,18,0,7,4,7,7,6,7,3,1,1,7,1,1,20,1,15,6.33333333333333
"38",54,0,19,0,7,3,6,3,5,7,4,12,5,9,14,11,16,14,13,5.16666666666667
"39",55,0,19,0,5,3,7,3,7,7,5,1,1,1,1,1,20,1,5,5.33333333333333
"40",56,1,NA,0,4,4,3,7,2,6,1,15,1,1,11,19,21,20,17,4.33333333333333
"41",57,1,19,1,3,2,7,3,7,7,20,1,21,1,1,1,1,1,15,4.83333333333333
"42",58,0,20,0,6,6,6,6,5,4,12,0,12,0,0,0,11,0,0,5.5
"43",59,0,18,1,6,3,5,7,5,6,6,1,1,8,2,3,20,16,20,5.33333333333333
"44",60,0,19,0,6,5,7,6,7,7,1,1,5,1,11,1,21,11,21,6.33333333333333
"45",61,1,21,0,7,4,7,1,7,7,1,11,0,0,7,0,20,8,0,5.5
"46",62,0,18,0,7,3,6,7,7,7,5,1,1,1,7,0,21,7,21,6.16666666666667
