"","X1","real","id","item_num","treatment","control","realxtreatment","realxcontrol","attentive","avg_fake","avg_real","discernment","rating","hispanic","social_conserv","covid_concern_1","mms","crt_acc","study","sciknow","demrep","gender","age"
"1",1,0,1,1,1,0,0,0,0,0.826666675333333,0.866666673333333,0.0399999980000001,0.80000001,0,1,1.18,4.7,0,1,0.588235294117647,1,1,29
"2",2,1,1,16,1,0,1,0,0,0.826666675333333,0.866666673333333,0.0399999980000001,0.80000001,0,1,1.18,4.7,0,1,0.588235294117647,1,1,29
"3",3,0,1,2,1,0,0,0,0,0.826666675333333,0.866666673333333,0.0399999980000001,0.80000001,0,1,1.18,4.7,0,1,0.588235294117647,1,1,29
"4",4,1,1,17,1,0,1,0,0,0.826666675333333,0.866666673333333,0.0399999980000001,0.80000001,0,1,1.18,4.7,0,1,0.588235294117647,1,1,29
"5",5,0,1,3,1,0,0,0,0,0.826666675333333,0.866666673333333,0.0399999980000001,1,0,1,1.18,4.7,0,1,0.588235294117647,1,1,29
"6",6,1,1,18,1,0,1,0,0,0.826666675333333,0.866666673333333,0.0399999980000001,1,0,1,1.18,4.7,0,1,0.588235294117647,1,1,29
"7",7,0,1,4,1,0,0,0,0,0.826666675333333,0.866666673333333,0.0399999980000001,1,0,1,1.18,4.7,0,1,0.588235294117647,1,1,29
"8",8,1,1,19,1,0,1,0,0,0.826666675333333,0.866666673333333,0.0399999980000001,1,0,1,1.18,4.7,0,1,0.588235294117647,1,1,29
"9",9,0,1,5,1,0,0,0,0,0.826666675333333,0.866666673333333,0.0399999980000001,0.80000001,0,1,1.18,4.7,0,1,0.588235294117647,1,1,29
"10",10,1,1,20,1,0,1,0,0,0.826666675333333,0.866666673333333,0.0399999980000001,1,0,1,1.18,4.7,0,1,0.588235294117647,1,1,29
"11",11,0,1,6,1,0,0,0,0,0.826666675333333,0.866666673333333,0.0399999980000001,0.80000001,0,1,1.18,4.7,0,1,0.588235294117647,1,1,29
"12",12,1,1,21,1,0,1,0,0,0.826666675333333,0.866666673333333,0.0399999980000001,0.80000001,0,1,1.18,4.7,0,1,0.588235294117647,1,1,29
"13",13,0,1,7,1,0,0,0,0,0.826666675333333,0.866666673333333,0.0399999980000001,0.80000001,0,1,1.18,4.7,0,1,0.588235294117647,1,1,29
"14",14,1,1,22,1,0,1,0,0,0.826666675333333,0.866666673333333,0.0399999980000001,0.80000001,0,1,1.18,4.7,0,1,0.588235294117647,1,1,29
"15",15,0,1,8,1,0,0,0,0,0.826666675333333,0.866666673333333,0.0399999980000001,0.80000001,0,1,1.18,4.7,0,1,0.588235294117647,1,1,29
"16",16,1,1,23,1,0,1,0,0,0.826666675333333,0.866666673333333,0.0399999980000001,0.80000001,0,1,1.18,4.7,0,1,0.588235294117647,1,1,29
"17",17,0,1,9,1,0,0,0,0,0.826666675333333,0.866666673333333,0.0399999980000001,0.60000002,0,1,1.18,4.7,0,1,0.588235294117647,1,1,29
"18",18,1,1,24,1,0,1,0,0,0.826666675333333,0.866666673333333,0.0399999980000001,0.80000001,0,1,1.18,4.7,0,1,0.588235294117647,1,1,29
"19",19,0,1,10,1,0,0,0,0,0.826666675333333,0.866666673333333,0.0399999980000001,0.80000001,0,1,1.18,4.7,0,1,0.588235294117647,1,1,29
"20",20,1,1,25,1,0,1,0,0,0.826666675333333,0.866666673333333,0.0399999980000001,0.80000001,0,1,1.18,4.7,0,1,0.588235294117647,1,1,29
"21",21,0,1,11,1,0,0,0,0,0.826666675333333,0.866666673333333,0.0399999980000001,1,0,1,1.18,4.7,0,1,0.588235294117647,1,1,29
"22",22,1,1,26,1,0,1,0,0,0.826666675333333,0.866666673333333,0.0399999980000001,0.80000001,0,1,1.18,4.7,0,1,0.588235294117647,1,1,29
"23",23,0,1,12,1,0,0,0,0,0.826666675333333,0.866666673333333,0.0399999980000001,0.80000001,0,1,1.18,4.7,0,1,0.588235294117647,1,1,29
"24",24,1,1,27,1,0,1,0,0,0.826666675333333,0.866666673333333,0.0399999980000001,0.80000001,0,1,1.18,4.7,0,1,0.588235294117647,1,1,29
"25",25,0,1,13,1,0,0,0,0,0.826666675333333,0.866666673333333,0.0399999980000001,1,0,1,1.18,4.7,0,1,0.588235294117647,1,1,29
"26",26,1,1,28,1,0,1,0,0,0.826666675333333,0.866666673333333,0.0399999980000001,0.80000001,0,1,1.18,4.7,0,1,0.588235294117647,1,1,29
"27",27,0,1,14,1,0,0,0,0,0.826666675333333,0.866666673333333,0.0399999980000001,0.60000002,0,1,1.18,4.7,0,1,0.588235294117647,1,1,29
"28",28,1,1,29,1,0,1,0,0,0.826666675333333,0.866666673333333,0.0399999980000001,1,0,1,1.18,4.7,0,1,0.588235294117647,1,1,29
"29",29,0,1,15,1,0,0,0,0,0.826666675333333,0.866666673333333,0.0399999980000001,0.80000001,0,1,1.18,4.7,0,1,0.588235294117647,1,1,29
"30",30,1,1,30,1,0,1,0,0,0.826666675333333,0.866666673333333,0.0399999980000001,1,0,1,1.18,4.7,0,1,0.588235294117647,1,1,29
"31",31,0,2,1,0,1,0,0,1,0.253333339333333,0.386666677333333,0.133333338,0.2,0,4,1.66,5.3,0.333333333333333,1,0.588235294117647,0,0,45
"32",32,1,2,16,0,1,0,1,1,0.253333339333333,0.386666677333333,0.133333338,0.60000002,0,4,1.66,5.3,0.333333333333333,1,0.588235294117647,0,0,45
"33",33,0,2,2,0,1,0,0,1,0.253333339333333,0.386666677333333,0.133333338,0,0,4,1.66,5.3,0.333333333333333,1,0.588235294117647,0,0,45
"34",34,1,2,17,0,1,0,1,1,0.253333339333333,0.386666677333333,0.133333338,0,0,4,1.66,5.3,0.333333333333333,1,0.588235294117647,0,0,45
"35",35,0,2,3,0,1,0,0,1,0.253333339333333,0.386666677333333,0.133333338,0.40000001,0,4,1.66,5.3,0.333333333333333,1,0.588235294117647,0,0,45
"36",36,1,2,18,0,1,0,1,1,0.253333339333333,0.386666677333333,0.133333338,0.2,0,4,1.66,5.3,0.333333333333333,1,0.588235294117647,0,0,45
"37",37,0,2,4,0,1,0,0,1,0.253333339333333,0.386666677333333,0.133333338,0,0,4,1.66,5.3,0.333333333333333,1,0.588235294117647,0,0,45
"38",38,1,2,19,0,1,0,1,1,0.253333339333333,0.386666677333333,0.133333338,0.60000002,0,4,1.66,5.3,0.333333333333333,1,0.588235294117647,0,0,45
"39",39,0,2,5,0,1,0,0,1,0.253333339333333,0.386666677333333,0.133333338,0.60000002,0,4,1.66,5.3,0.333333333333333,1,0.588235294117647,0,0,45
"40",40,1,2,20,0,1,0,1,1,0.253333339333333,0.386666677333333,0.133333338,0.40000001,0,4,1.66,5.3,0.333333333333333,1,0.588235294117647,0,0,45
"41",41,0,2,6,0,1,0,0,1,0.253333339333333,0.386666677333333,0.133333338,0.60000002,0,4,1.66,5.3,0.333333333333333,1,0.588235294117647,0,0,45
"42",42,1,2,21,0,1,0,1,1,0.253333339333333,0.386666677333333,0.133333338,0.40000001,0,4,1.66,5.3,0.333333333333333,1,0.588235294117647,0,0,45
"43",43,0,2,7,0,1,0,0,1,0.253333339333333,0.386666677333333,0.133333338,0.40000001,0,4,1.66,5.3,0.333333333333333,1,0.588235294117647,0,0,45
"44",44,1,2,22,0,1,0,1,1,0.253333339333333,0.386666677333333,0.133333338,0.40000001,0,4,1.66,5.3,0.333333333333333,1,0.588235294117647,0,0,45
"45",45,0,2,8,0,1,0,0,1,0.253333339333333,0.386666677333333,0.133333338,0,0,4,1.66,5.3,0.333333333333333,1,0.588235294117647,0,0,45
"46",46,1,2,23,0,1,0,1,1,0.253333339333333,0.386666677333333,0.133333338,0.60000002,0,4,1.66,5.3,0.333333333333333,1,0.588235294117647,0,0,45
"47",47,0,2,9,0,1,0,0,1,0.253333339333333,0.386666677333333,0.133333338,0,0,4,1.66,5.3,0.333333333333333,1,0.588235294117647,0,0,45
"48",48,1,2,24,0,1,0,1,1,0.253333339333333,0.386666677333333,0.133333338,0.2,0,4,1.66,5.3,0.333333333333333,1,0.588235294117647,0,0,45
"49",49,0,2,10,0,1,0,0,1,0.253333339333333,0.386666677333333,0.133333338,0,0,4,1.66,5.3,0.333333333333333,1,0.588235294117647,0,0,45
"50",50,1,2,25,0,1,0,1,1,0.253333339333333,0.386666677333333,0.133333338,0.60000002,0,4,1.66,5.3,0.333333333333333,1,0.588235294117647,0,0,45
"51",51,0,2,11,0,1,0,0,1,0.253333339333333,0.386666677333333,0.133333338,0.2,0,4,1.66,5.3,0.333333333333333,1,0.588235294117647,0,0,45
"52",52,1,2,26,0,1,0,1,1,0.253333339333333,0.386666677333333,0.133333338,0.40000001,0,4,1.66,5.3,0.333333333333333,1,0.588235294117647,0,0,45
"53",53,0,2,12,0,1,0,0,1,0.253333339333333,0.386666677333333,0.133333338,0.40000001,0,4,1.66,5.3,0.333333333333333,1,0.588235294117647,0,0,45
"54",54,1,2,27,0,1,0,1,1,0.253333339333333,0.386666677333333,0.133333338,0.60000002,0,4,1.66,5.3,0.333333333333333,1,0.588235294117647,0,0,45
"55",55,0,2,13,0,1,0,0,1,0.253333339333333,0.386666677333333,0.133333338,0.40000001,0,4,1.66,5.3,0.333333333333333,1,0.588235294117647,0,0,45
"56",56,1,2,28,0,1,0,1,1,0.253333339333333,0.386666677333333,0.133333338,0.40000001,0,4,1.66,5.3,0.333333333333333,1,0.588235294117647,0,0,45
"57",57,0,2,14,0,1,0,0,1,0.253333339333333,0.386666677333333,0.133333338,0.2,0,4,1.66,5.3,0.333333333333333,1,0.588235294117647,0,0,45
