"","real","id","item_num","treatment","control","realxtreatment","realxcontrol","demrep","attentive","avg_fake","avg_real","discernment","rating","age","gender","hispanic","social_conserv","covid_concern_1","sciknow","mms","crt_acc","study"
"1",0,1,1,1,0,0,0,1,1,0,0,-0.2,0,1.48,1,0,5,0.06,0.647058824,3.3,0,0
"2",0,2,1,0,1,0,0,0,1,0.36,0.38666668,-0.173333332,0.2,0.4,0,0,2,1.6,0.470588235,3.9,0.666666667,0
"3",0,3,1,1,0,0,0,0,1,0.25333334,0.48000002,0.02666666,0.2,1.06,1,0,2,1.72,0.941176471,4.3,0.666666667,0
"4",0,4,1,0,1,0,0,1,1,0.02666666,0.05333334,-0.173333332,0,1.06,0,0,5,0.58,0.529411765,3.9,0.833333333,0
"5",0,5,1,0,1,0,0,0,1,0.08,0.13333332,-0.146666664,0,0.64,0,0,2,1.42,0.705882353,4.7,0.166666667,0
"6",0,6,1,0,1,0,0,0,1,0.74666662,0.69333334,-0.253333336,0.8,1.18,1,0,4,1.8,0.588235294,5.5,0.166666667,0
"7",0,7,1,0,1,0,0,0,0,0.13333332,0.2,-0.133333332,1,1.04,1,0,3,2,0.647058824,5.2,0.166666667,0
"8",0,8,1,0,1,0,0,0,1,0.17333334,0.04,-0.333333338,0,1,0,0,3,1.62,0.647058824,2.6,0.333333333,0
"9",0,9,1,0,1,0,0,0,1,0,0.01333334,-0.186666666,0,0.7,0,0,3,1.84,0.941176471,3.4,0.666666667,0
"10",0,10,1,1,0,0,0,0,0,0.31999998,0.58666668,0.06666668,0.4,1.3,1,0,1,1.62,0.823529412,4.7,0.333333333,0
"11",0,11,1,1,0,0,0,1,1,0,0,-0.2,0,0.88,1,0,5,1.4,1,2.9,0.833333333,0
"12",0,12,1,0,1,0,0,1,0,0.9333333,0.94666662,-0.186666666,1,1.06,1,0,5,1.62,0.588235294,6.5,0,0
"13",0,13,1,0,1,0,0,0,1,0.28000002,0.34666666,-0.133333332,0,0.44,0,0,2,1.64,0.411764706,4.6,0,0
"14",0,14,1,0,1,0,0,1,1,0.22666668,0.21333332,-0.213333334,0,0.82,1,0,2,0.58,0.882352941,5.3,0.833333333,0
"15",0,15,1,1,0,0,0,0,1,0.25333334,0.16,-0.293333334,0.2,0.42,0,0,2,0.2,0.882352941,4,1,0
"16",0,16,1,1,0,0,0,1,1,0.14666666,0.10666666,-0.24,0,1.3,0,0,4,1.2,0.823529412,3.2,0.333333333,0
"17",0,17,1,0,1,0,0,1,1,0.16,0.65333338,0.29333334,0,1.32,1,0,4,1.6,0.705882353,4.8,0.333333333,0
"18",0,18,1,0,1,0,0,1,1,0.62666664,0.62666664,-0.2,0.2,1,1,0,4,0.5,0.705882353,4.7,0.5,0
"19",0,19,1,1,0,0,0,0,1,0,0.01333334,-0.186666666,0,0.58,0,0,1,1.72,0.352941176,4.4,0.5,0
"20",0,20,1,1,0,0,0,1,1,0.61333332,0.49333334,-0.320000004,0.4,0.74,1,0,5,1.82,0.882352941,5.7,0,0
"21",0,21,1,0,1,0,0,1,1,0.9333333,0.97333336,-0.16,1,0.84,1,0,1,2,0.529411765,6.5,0,0
"22",0,22,1,1,0,0,0,1,1,0.21333332,0.41333332,0,0.4,0.98,1,0,3,1.2,0.411764706,4.2,0.333333333,0
"23",0,23,1,1,0,0,0,0,1,0.82666664,0.81333332,-0.213333334,1,0.56,1,0,3,1.78,0.352941176,5.9,0.333333333,0
"24",0,24,1,1,0,0,0,0,1,0,0,-0.2,0,0.92,0,0,3,1.2,0.647058824,3.8,0.166666667,0
"25",0,25,1,1,0,0,0,1,1,0.14666666,0.2,-0.146666664,0,0.76,0,0,4,0.54,0.529411765,3.2,0.833333333,0
"26",0,26,1,0,1,0,0,0,1,0.41333332,0.48000002,-0.133333332,0.4,0.36,0,0,1,1.64,0.529411765,5.4,0.333333333,0
"27",0,27,1,1,0,0,0,1,1,0.46666666,0.51999998,-0.146666664,0.4,0.64,1,0,3,1.64,0.823529412,5.2,0.166666667,0
"28",0,28,1,1,0,0,0,0,1,0.51999998,0.6,-0.119999998,0.6,0.4,1,0,3,2,0.352941176,5.3,0.166666667,0
"29",0,29,1,0,1,0,0,0,1,0.44,0.57333332,-0.066666662,0.4,1.04,0,0,1,2,0.529411765,4.6,0.333333333,0
"30",0,30,1,0,1,0,0,1,1,0.44,0.41333332,-0.226666668,0.4,1,1,0,4,0.48,0.411764706,4.2,0,0
"31",0,31,1,0,1,0,0,0,0,0.51999998,0.51999998,-0.2,0.4,0.5,0,0,3,1.56,0.647058824,4.5,0.5,0
"32",0,32,1,1,0,0,0,1,1,0.22666668,0.24,-0.186666666,0,1.42,0,0,5,1.22,0.647058824,4.6,0.833333333,0
"33",0,33,1,1,0,0,0,0,0,0.01333334,0,-0.213333334,0,1.34,0,0,4,0.2,0.705882353,3.9,0.833333333,0
"34",0,34,1,1,0,0,0,1,1,0.7333333,0.65333338,-0.280000002,0.6,1.4,0,0,4,1.36,0.823529412,2.2,0.166666667,0
"35",0,35,1,0,1,0,0,1,1,0.38666668,0.42666668,-0.16,0.2,0.8,0,0,5,1.96,0.411764706,4.7,0.666666667,0
"36",0,36,1,0,1,0,0,0,1,0.05333334,0.08,-0.173333332,0,1.38,1,0,2,1.52,0.941176471,4.9,0.666666667,0
"37",0,37,1,0,1,0,0,0,0,0.65333338,0.49333334,-0.360000002,0.6,0.56,1,1,1,1.62,0.411764706,5.8,0.333333333,0
"38",0,38,1,1,0,0,0,0,1,0.70666666,0.76000004,-0.146666664,0.2,0.94,0,0,1,2,0.235294118,4.9,0.333333333,0
"39",0,39,1,0,1,0,0,0,0,0.21333332,0.26666666,-0.146666664,0.2,0.86,0,0,4,0.3,0.588235294,3.7,0.333333333,0
"40",0,40,1,1,0,0,0,0,1,0.24,0.21333332,-0.226666668,0,0.92,0,0,3,1.56,0.058823529,3.7,0.5,0
"41",0,41,1,1,0,0,0,0,1,0.24,0.22666668,-0.213333334,0.2,1.44,1,0,3,1.42,0.647058824,5.1,0.333333333,0
"42",0,42,1,1,0,0,0,0,1,0.04,0.48000002,0.24,0,0.86,1,0,3,1.84,0.647058824,4.7,0.333333333,0
"43",0,43,1,0,1,0,0,1,1,0.10666666,0.12,-0.186666666,0,1.26,0,0,4,1.86,0.764705882,3.5,0.5,0
"44",0,44,1,1,0,0,0,0,1,0.13333332,0.28000002,-0.05333333,0,0.7,1,0,2,2,0.588235294,4.2,0.166666667,0
"45",0,45,1,0,1,0,0,0,1,0.4,0.36,-0.24,0,0.68,0,0,2,2,0.588235294,3.3,0,0
"46",0,46,1,0,1,0,0,0,1,0.18666666,0.33333334,-0.05333333,0,1.3,0,0,3,1.6,0.470588235,5.2,0.333333333,0
"47",0,47,1,1,0,0,0,1,1,0.50666666,0.36,-0.34666667,0.6,0.48,0,0,2,0.8,0.764705882,3.7,0.166666667,0
"48",0,48,1,1,0,0,0,0,1,0.54666666,0.56,-0.186666666,0.4,0.7,1,0,3,1.56,0.647058824,4.4,0.666666667,0
"49",0,49,1,0,1,0,0,0,1,0.06666668,0.29333334,0.02666666,0,1.2,1,0,3,1.78,0.823529412,5.3,0.666666667,0
"50",0,50,1,1,0,0,0,0,1,0.01333334,0.10666666,-0.106666666,0,1.22,1,0,2,2,0.764705882,4.8,0.333333333,0
