"","Subject_ID","Treatment","Age","Gender_Coded","Born_US","Ethnicity_Coded","Religiousity","Political_Aff","Income","Nat_Lang","Country_Born","Yrs_Country_Born","Current_Country","Education","P1_Educ","p2_Educ","Job","Empathy_Sentences","E_Compassion","E_Sympathy","E_Movedness","Empathy","Decision_DV","Suspicion","Suspicion_code","Incluenced_by_suspicion","Study2_done_before","Study2_done_before_text","Combined_Income_Centered","Combined_Condition_IncomeCentered","Sample_Income_Centered","Sample_Condition_IncomeCentered","filter_$_study2_geolocation"
"1",207,1,30,NA,FALSE,0,4,5,4,"ENGLISH","INDIA","5","AMERICA",5,3,3,"WORKING","Lose member felt so sad because the payment was very worst and he had to try again next time.",4,3,5,4,5,"To know the decision process of people",0,5,NA,"",-0.19,-0.19,0.0899999999999999,0.0899999999999999,1
"2",6,0,55,0,TRUE,1,1,6,1,"english","usa","55","usa",5,5,5,"retired","",1,1,1,1,1,"no",0,1,NA,"",-3.19,0,-2.91,0,1
"3",9,0,44,0,TRUE,1,5,6,3,"English","USA","44","USA",6,5,3,"on disability","",3,4,3,3.33333333333333,3,"I assume, looking to analyze how much risk people are willing to assign or require others to be exposed to (human interaction/risk assignment/compassion)?",0,3,NA,"",-1.19,0,-0.91,0,1
"4",11,0,47,0,TRUE,1,2,5,4,"english","usa","47","47",3,6,6,"health care","",5,5,5,5,1,"no",0,2,NA,"",-0.19,0,0.0899999999999999,0,1
"5",14,0,26,0,TRUE,1,5,1,2,"english","america","26","america",3,7,6,"disabled mturker","",5,5,4,4.66666666666667,6,"no im still going over in my head what exactly your trying to figure out.",0,1,NA,"",-2.19,0,-1.91,0,1
"6",16,0,24,0,TRUE,1,1,2,4,"English","United States","24","United States",2,2,2,"Unemployed","",3,3,3,3,1,"No.",0,1,NA,"",-0.19,0,0.0899999999999999,0,1
"7",22,0,26,0,FALSE,0,4,4,2,"English","Nigeria","4","United States",6,7,6,"Student","",5,5,5,5,1,"TO determine if I would choose to take away dollars from the lose member so that the other members could gain more",0,1,NA,"",-2.19,0,-1.91,0,1
"8",25,0,27,0,TRUE,1,3,2,5,"ENGLISH","USA","27","USA",5,6,3,"LOAN OPERATIONS SPECIALIST","",5,5,3,4.33333333333333,1,"THAT WE WOULD FEEL SORRY FOR THE PERSON",0,2,NA,"",0.81,0,1.09,0,1
"9",26,0,28,0,TRUE,1,1,2,1,"English","United States","28","United States",3,4,3,"Student","",5,5,4,4.66666666666667,1,"I did not.",0,1,NA,"",-3.19,0,-2.91,0,1
"10",30,0,25,0,FALSE,0,5,4,2,"English","INDIA","5","USA",5,5,6,"Mercantile engineer","",7,7,6,6.66666666666667,6,"Not really",0,1,NA,"",-2.19,0,-1.91,0,1
