"","Veracity","Language","Emotionality","ID","meanRT","meanJudgment"
"1","Lie","German","Emotional","3",735.416666666667,0.58695652173913
"2","Truth","German","Emotional","3",631.818181818182,0.58695652173913
"3","Lie","English","Emotional","3",823.333333333333,0.630434782608696
"4","Truth","English","Emotional","3",940.454545454545,0.630434782608696
"5","Lie","German","Neutral","3",705.421052631579,0.276595744680851
"6","Truth","German","Neutral","3",726.928571428571,0.276595744680851
"7","Lie","English","Neutral","3",886.777777777778,0.263157894736842
"8","Truth","English","Neutral","3",747.5,0.263157894736842
"9","Lie","German","Emotional","4",750,0.547169811320755
"10","Truth","German","Emotional","4",703.225806451613,0.547169811320755
"11","Lie","English","Emotional","4",798.571428571429,0.425531914893617
"12","Truth","English","Emotional","4",955.846153846154,0.425531914893617
"13","Lie","German","Neutral","4",793.846153846154,0
"14","Truth","German","Neutral","4",769.130434782609,0
"15","Lie","English","Neutral","4",842.608695652174,0
"16","Truth","English","Neutral","4",934.111111111111,0
"17","Lie","German","Emotional","5",1325.30434782609,0.131578947368421
"18","Truth","German","Emotional","5",773.333333333333,0.131578947368421
"19","Lie","English","Emotional","5",1199.44444444444,0.121951219512195
"20","Truth","English","Emotional","5",1234.08695652174,0.121951219512195
"21","Lie","German","Neutral","5",1301.76470588235,0
"22","Truth","German","Neutral","5",850.555555555556,0
"23","Lie","English","Neutral","5",1148.57142857143,0
"24","Truth","English","Neutral","5",1161.42857142857,0
"25","Lie","German","Emotional","6",1134.17647058824,0.717391304347826
"26","Truth","German","Emotional","6",1056.20689655172,0.717391304347826
"27","Lie","English","Emotional","6",1175.78947368421,0.717391304347826
"28","Truth","English","Emotional","6",1143.40740740741,0.717391304347826
"29","Lie","German","Neutral","6",1093.2,0
"30","Truth","German","Neutral","6",1052.17391304348,0
"31","Lie","English","Neutral","6",1243.03703703704,0
"32","Truth","English","Neutral","6",1139.14285714286,0
"33","Lie","German","Emotional","8",1524.09090909091,0.0851063829787234
"34","Truth","German","Emotional","8",900.4,0.0851063829787234
"35","Lie","English","Emotional","8",1843.78947368421,0.136363636363636
"36","Truth","English","Emotional","8",1221.68,0.136363636363636
"37","Lie","German","Neutral","8",1518,0
"38","Truth","German","Neutral","8",1066.8,0
"39","Lie","English","Neutral","8",1587.36842105263,0
"40","Truth","English","Neutral","8",1400,0
"41","Lie","German","Emotional","9",998.076923076923,0.708333333333333
"42","Truth","German","Emotional","9",723.636363636364,0.708333333333333
"43","Lie","English","Emotional","9",1046.84,0.6875
"44","Truth","English","Emotional","9",904.347826086957,0.6875
"45","Lie","German","Neutral","9",876.666666666667,0.0833333333333333
"46","Truth","German","Neutral","9",733.666666666667,0.0833333333333333
"47","Lie","English","Neutral","9",966.818181818182,0.130434782608696
"48","Truth","English","Neutral","9",892.5,0.130434782608696
"49","Lie","German","Emotional","10",964.583333333333,0.42
"50","Truth","German","Emotional","10",663.461538461538,0.42
"51","Lie","English","Emotional","10",1224.7619047619,0.511111111111111
"52","Truth","English","Emotional","10",775.416666666667,0.511111111111111
"53","Lie","German","Neutral","10",841.379310344828,0
