"","Veracity","Language","Emotionality","ID","meanRT","meanJudgment","Age","Gender","StudiesMajor","MotherTongue","SelfReportedEnglishSpreakingProficiency","SelfReportedEnglishListening","EnglishLextaleScores","SelfReportedGermanSpeaking","SelfReportedGermanListening","GermanLextaleScores","SelfReportedDutchSpeaking","SelfReportedDutchListening","DutchLextaleScores"
"1","Lie","Dutch","Emotional","1",1363.07692307692,0.433962264150943,19,0,"Psychologie","Dutch","4","6",65,"2","2",48.75,"6","6","91.25"
"2","Truth","Dutch","Emotional","1",1069.62962962963,0.433962264150943,19,0,"Psychologie","Dutch","4","6",65,"2","2",48.75,"6","6","91.25"
"3","Lie","English","Emotional","1",1290.95652173913,0.583333333333333,19,0,"Psychologie","Dutch","4","6",65,"2","2",48.75,"6","6","91.25"
"4","Truth","English","Emotional","1",1044.44,0.583333333333333,19,0,"Psychologie","Dutch","4","6",65,"2","2",48.75,"6","6","91.25"
"5","Lie","Dutch","Neutral","1",1329.52380952381,0,19,0,"Psychologie","Dutch","4","6",65,"2","2",48.75,"6","6","91.25"
"6","Truth","Dutch","Neutral","1",1088.64285714286,0,19,0,"Psychologie","Dutch","4","6",65,"2","2",48.75,"6","6","91.25"
"7","Lie","English","Neutral","1",1228.88461538462,0,19,0,"Psychologie","Dutch","4","6",65,"2","2",48.75,"6","6","91.25"
"8","Truth","English","Neutral","1",1082.62962962963,0,19,0,"Psychologie","Dutch","4","6",65,"2","2",48.75,"6","6","91.25"
"9","Lie","Dutch","Emotional","2",2311,0.0754716981132075,18,0,"Psychologie","Dutch","4","5",76.25,"5","6",70,"6","6","91.25"
"10","Truth","Dutch","Emotional","2",1339.77419354839,0.0754716981132075,18,0,"Psychologie","Dutch","4","5",76.25,"5","6",70,"6","6","91.25"
"11","Lie","English","Emotional","2",2153.75,0.037037037037037,18,0,"Psychologie","Dutch","4","5",76.25,"5","6",70,"6","6","91.25"
"12","Truth","English","Emotional","2",1374.76666666667,0.037037037037037,18,0,"Psychologie","Dutch","4","5",76.25,"5","6",70,"6","6","91.25"
"13","Lie","Dutch","Neutral","2",2039.1875,0,18,0,"Psychologie","Dutch","4","5",76.25,"5","6",70,"6","6","91.25"
"14","Truth","Dutch","Neutral","2",1187.5,0,18,0,"Psychologie","Dutch","4","5",76.25,"5","6",70,"6","6","91.25"
"15","Lie","English","Neutral","2",1827.13333333333,0,18,0,"Psychologie","Dutch","4","5",76.25,"5","6",70,"6","6","91.25"
"16","Truth","English","Neutral","2",1575.16666666667,0,18,0,"Psychologie","Dutch","4","5",76.25,"5","6",70,"6","6","91.25"
"17","Lie","Dutch","Emotional","3",1021.21428571429,0.369565217391304,20,0,"College of Science domein Levenswetenschappen","Dutch","4","5",82.5,"2","3",67.5,"5","6","95"
"18","Truth","Dutch","Emotional","3",748.944444444444,0.369565217391304,20,0,"College of Science domein Levenswetenschappen","Dutch","4","5",82.5,"2","3",67.5,"5","6","95"
"19","Lie","English","Emotional","3",970.952380952381,0.357142857142857,20,0,"College of Science domein Levenswetenschappen","Dutch","4","5",82.5,"2","3",67.5,"5","6","95"
"20","Truth","English","Emotional","3",857.333333333333,0.357142857142857,20,0,"College of Science domein Levenswetenschappen","Dutch","4","5",82.5,"2","3",67.5,"5","6","95"
"21","Lie","Dutch","Neutral","3",933.4,0,20,0,"College of Science domein Levenswetenschappen","Dutch","4","5",82.5,"2","3",67.5,"5","6","95"
"22","Truth","Dutch","Neutral","3",731.51724137931,0,20,0,"College of Science domein Levenswetenschappen","Dutch","4","5",82.5,"2","3",67.5,"5","6","95"
"23","Lie","English","Neutral","3",980.619047619048,0,20,0,"College of Science domein Levenswetenschappen","Dutch","4","5",82.5,"2","3",67.5,"5","6","95"
"24","Truth","English","Neutral","3",814.434782608696,0,20,0,"College of Science domein Levenswetenschappen","Dutch","4","5",82.5,"2","3",67.5,"5","6","95"
"25","Lie","Dutch","Emotional","4",1404.5,0.163265306122449,23,0,"PPLE - Politics Psychology Law Economics","Dutch","5","6",80,"2","3",67.5,"6","6","95"
"26","Truth","Dutch","Emotional","4",899.259259259259,0.163265306122449,23,0,"PPLE - Politics Psychology Law Economics","Dutch","5","6",80,"2","3",67.5,"6","6","95"
"27","Lie","English","Emotional","4",1232.27777777778,0.0952380952380952,23,0,"PPLE - Politics Psychology Law Economics","Dutch","5","6",80,"2","3",67.5,"6","6","95"
"28","Truth","English","Emotional","4",872.125,0.0952380952380952,23,0,"PPLE - Politics Psychology Law Economics","Dutch","5","6",80,"2","3",67.5,"6","6","95"
"29","Lie","Dutch","Neutral","4",1309.52173913043,0,23,0,"PPLE - Politics Psychology Law Economics","Dutch","5","6",80,"2","3",67.5,"6","6","95"
"30","Truth","Dutch","Neutral","4",935.260869565217,0,23,0,"PPLE - Politics Psychology Law Economics","Dutch","5","6",80,"2","3",67.5,"6","6","95"
"31","Lie","English","Neutral","4",1198.76470588235,0,23,0,"PPLE - Politics Psychology Law Economics","Dutch","5","6",80,"2","3",67.5,"6","6","95"
"32","Truth","English","Neutral","4",947.875,0,23,0,"PPLE - Politics Psychology Law Economics","Dutch","5","6",80,"2","3",67.5,"6","6","95"
"33","Lie","Dutch","Emotional","5",2288.83333333333,0,21,1,"Anders","Dutch","4","6",87.5,"2","3",43.75,"6","6","86.25"
"34","Truth","Dutch","Emotional","5",3161.04347826087,0,21,1,"Anders","Dutch","4","6",87.5,"2","3",43.75,"6","6","86.25"
"35","Lie","English","Emotional","5",2338.375,0,21,1,"Anders","Dutch","4","6",87.5,"2","3",43.75,"6","6","86.25"
"36","Truth","English","Emotional","5",2230.66666666667,0,21,1,"Anders","Dutch","4","6",87.5,"2","3",43.75,"6","6","86.25"
"37","Lie","Dutch","Neutral","5",2381.86363636364,0,21,1,"Anders","Dutch","4","6",87.5,"2","3",43.75,"6","6","86.25"
"38","Truth","Dutch","Neutral","5",2720.95652173913,0,21,1,"Anders","Dutch","4","6",87.5,"2","3",43.75,"6","6","86.25"
"39","Lie","English","Neutral","5",1843.33333333333,0,21,1,"Anders","Dutch","4","6",87.5,"2","3",43.75,"6","6","86.25"
"40","Truth","English","Neutral","5",2371.15384615385,0,21,1,"Anders","Dutch","4","6",87.5,"2","3",43.75,"6","6","86.25"
"41","Lie","Dutch","Emotional","6",860.714285714286,0.480769230769231,28,0,"Psychologie","Dutch","5","6",63.75,"1","1",57.5,"6","6","75"
"42","Truth","Dutch","Emotional","6",819.583333333333,0.480769230769231,28,0,"Psychologie","Dutch","5","6",63.75,"1","1",57.5,"6","6","75"
"43","Lie","English","Emotional","6",977.727272727273,0.48936170212766,28,0,"Psychologie","Dutch","5","6",63.75,"1","1",57.5,"6","6","75"
"44","Truth","English","Emotional","6",1090.36,0.48936170212766,28,0,"Psychologie","Dutch","5","6",63.75,"1","1",57.5,"6","6","75"
"45","Lie","Dutch","Neutral","6",1050.625,0,28,0,"Psychologie","Dutch","5","6",63.75,"1","1",57.5,"6","6","75"
"46","Truth","Dutch","Neutral","6",777.214285714286,0,28,0,"Psychologie","Dutch","5","6",63.75,"1","1",57.5,"6","6","75"
"47","Lie","English","Neutral","6",1145.5,0,28,0,"Psychologie","Dutch","5","6",63.75,"1","1",57.5,"6","6","75"
"48","Truth","English","Neutral","6",1130.75,0,28,0,"Psychologie","Dutch","5","6",63.75,"1","1",57.5,"6","6","75"
"49","Lie","Dutch","Emotional","7",1785.5,0.115384615384615,38,1,"College Communicatiewetenschap","Dutch","4","5",82.5,"1","2",58.75,"6","6","96.25"
"50","Truth","Dutch","Emotional","7",1149.26923076923,0.115384615384615,38,1,"College Communicatiewetenschap","Dutch","4","5",82.5,"1","2",58.75,"6","6","96.25"
"51","Lie","English","Emotional","7",2091.72,0.134615384615385,38,1,"College Communicatiewetenschap","Dutch","4","5",82.5,"1","2",58.75,"6","6","96.25"
"52","Truth","English","Emotional","7",1442.2962962963,0.134615384615385,38,1,"College Communicatiewetenschap","Dutch","4","5",82.5,"1","2",58.75,"6","6","96.25"
"53","Lie","Dutch","Neutral","7",1529.24,0,38,1,"College Communicatiewetenschap","Dutch","4","5",82.5,"1","2",58.75,"6","6","96.25"
"54","Truth","Dutch","Neutral","7",1037.44444444444,0,38,1,"College Communicatiewetenschap","Dutch","4","5",82.5,"1","2",58.75,"6","6","96.25"
"55","Lie","English","Neutral","7",1774.34615384615,0,38,1,"College Communicatiewetenschap","Dutch","4","5",82.5,"1","2",58.75,"6","6","96.25"
"56","Truth","English","Neutral","7",1388.59259259259,0,38,1,"College Communicatiewetenschap","Dutch","4","5",82.5,"1","2",58.75,"6","6","96.25"
"57","Lie","Dutch","Emotional","8",1963.91304347826,0.36,23,0,"Psychologie","Dutch","1","3",62.5,"1","1",56.25,"6","6","88.75"
"58","Truth","Dutch","Emotional","8",1420.74074074074,0.36,23,0,"Psychologie","Dutch","1","3",62.5,"1","1",56.25,"6","6","88.75"
"59","Lie","English","Emotional","8",1532.7619047619,0.4,23,0,"Psychologie","Dutch","1","3",62.5,"1","1",56.25,"6","6","88.75"
"60","Truth","English","Emotional","8",1502.44827586207,0.4,23,0,"Psychologie","Dutch","1","3",62.5,"1","1",56.25,"6","6","88.75"
"61","Lie","Dutch","Neutral","8",1986.77272727273,0,23,0,"Psychologie","Dutch","1","3",62.5,"1","1",56.25,"6","6","88.75"
"62","Truth","Dutch","Neutral","8",1490.84,0,23,0,"Psychologie","Dutch","1","3",62.5,"1","1",56.25,"6","6","88.75"
"63","Lie","English","Neutral","8",1696.125,0,23,0,"Psychologie","Dutch","1","3",62.5,"1","1",56.25,"6","6","88.75"
"64","Truth","English","Neutral","8",1523.6,0,23,0,"Psychologie","Dutch","1","3",62.5,"1","1",56.25,"6","6","88.75"
"65","Lie","Dutch","Emotional","9",1016.86363636364,0.16,20,0,"Psychologie","Dutch","6","5",72.5,"2","2",57.5,"6","6","95"
"66","Truth","Dutch","Emotional","9",894.392857142857,0.16,20,0,"Psychologie","Dutch","6","5",72.5,"2","2",57.5,"6","6","95"
"67","Lie","English","Emotional","9",992.16,0.150943396226415,20,0,"Psychologie","Dutch","6","5",72.5,"2","2",57.5,"6","6","95"
"68","Truth","English","Emotional","9",1008.60714285714,0.150943396226415,20,0,"Psychologie","Dutch","6","5",72.5,"2","2",57.5,"6","6","95"
"69","Lie","Dutch","Neutral","9",1168.61904761905,0,20,0,"Psychologie","Dutch","6","5",72.5,"2","2",57.5,"6","6","95"
"70","Truth","Dutch","Neutral","9",856.130434782609,0,20,0,"Psychologie","Dutch","6","5",72.5,"2","2",57.5,"6","6","95"
"71","Lie","English","Neutral","9",1156.74074074074,0,20,0,"Psychologie","Dutch","6","5",72.5,"2","2",57.5,"6","6","95"
"72","Truth","English","Neutral","9",1065.08333333333,0,20,0,"Psychologie","Dutch","6","5",72.5,"2","2",57.5,"6","6","95"
"73","Lie","Dutch","Emotional","10",1825.26315789474,0.122448979591837,21,0,"College of Humanities","Dutch","5","5",80,"1","1",55,"6","6","92.5"
"74","Truth","Dutch","Emotional","10",1151.36666666667,0.122448979591837,21,0,"College of Humanities","Dutch","5","5",80,"1","1",55,"6","6","92.5"
"75","Lie","English","Emotional","10",1711.66666666667,0.111111111111111,21,0,"College of Humanities","Dutch","5","5",80,"1","1",55,"6","6","92.5"
"76","Truth","English","Emotional","10",1376.06666666667,0.111111111111111,21,0,"College of Humanities","Dutch","5","5",80,"1","1",55,"6","6","92.5"
