"","condition","participant_id","wave","surveyed_after_yoga_session","sex","age","z_self_centrality","z_better_than_average","z_exp_better_than_average","z_communal_narcissism","z_self_esteem","z_g_factor","z_g_factor_well_being","z_grouped_self_centrality","z_grouped_g_factor","z_grouped_g_factor_well_being","z_grouped_communal_narcissism","z_grouped_self_esteem","z_grouped_better_than_average"
"1",1,"56",2,1,NA,"",0.155585903485249,0.626591035026271,0.0821880123446223,NA,0.566426771576561,0.640558980467466,0.63897604069548,NA,NA,NA,NA,NA,NA
"2",1,"31",4,1,NA,"",0.218341557854944,-1.558280552094,0.397355266294248,0.0919887543521657,-0.754523208930287,-0.813625609182209,-1.43661748646403,0.188266963109084,0.0407865712623742,-0.350095445834303,0.329875346078584,0.0206398434454195,-0.439159189011174
"3",0,"56",9,0,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",0,"65",9,0,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1,"133",9,1,NA,"",0.866816653008457,NA,NA,NA,NA,NA,NA,-0.407911753403016,NA,NA,NA,NA,NA
"6",1,"63",10,1,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1,"112",10,1,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1,"121",10,1,NA,"",1.22243202777006,NA,NA,NA,0.896664266703272,0.816629820735181,NA,0.613610842725904,NA,NA,NA,NA,NA
"9",0,"116",11,0,NA,"",1.57804740253166,0.469280280753612,1.53983656186164,1.17381597627448,-0.314206548761338,0.356621550000673,0.683104645438883,0.0941334815545423,0.112266166828699,-0.321826847147629,0.721218147948208,-0.082559373781678,-0.48941123551494
"10",1,"56",12,1,NA,"",-0.241866574189484,0.504238226147536,-0.114791521373893,-0.00635917491349901,0.126110111407611,0.199645966891233,0.487988808397984,NA,NA,NA,NA,NA,NA
"11",1,"48",10,1,1,"67",-0.137273816906659,NA,-0.587542402298331,-2.25197022647951,0.786585101661035,-0.37651496804013,-1.04213557852222,0.193496600973225,-0.241759202384878,-0.321279942245631,-0.692533335245723,0.0687994781513983,NA
"12",1,"5",6,1,1,"23",-2.37555882275911,-1.40096979782134,0.0427921056009192,-0.121098425723441,0.0710705288864927,-0.31533198233344,-1.32955316814913,-1.05057613981859,0.0560190014819767,-0.413965652569457,0.329647688834913,0.067270600859145,-0.506890208211902
"13",0,"48",6,0,1,"67",-1.07860863245208,NA,-0.666334215785738,-0.530881464330378,0.676505936618798,0.268088102217663,-0.243688384775683,-0.747838214572196,0.402843867872915,0.477167251500908,1.02855542690341,-0.0412796868908391,NA
