"","subid","groupnr","condition","subage","subgender","feel_interested","feel_distressed","feel_excited","feel_upset","feel_strong","feel_guilty","feel_scared","feel_hostile","feel_enthusiastic","feel_proud","feel_irritable","feel_alert","feel_ashamed","feel_inspired","feel_nervous","feel_determined","feel_attentive","feel_jittery","feel_active","feel_afraid","task_threatening","task_fearful","task_enjoyable","task_worrying","task_hostile","task_challenging","task_stimulating","task_exhilarating","task_painful","task_depressing","task_pitiful","task_informative","task_exciting","task_frightening","task_terrifying","task_intolerable","task_intense","task_unpleasant","cooperation","lottery1","lottery2","lottery3","lottery4","lottery5","lottery6","groupsize","subbornaus","subbornloc","subausyears","subefl"
"1",1.1,1,0,19,0,4,1,4,1,4,1,1,1,4,3,1,4,1,4,1,4,4,1,4,1,1,1,4,1,1,4,4,2,1,1,1,3,3,1,1,1,1,2,2.83333333333333,5,1,2,4,3,2,2,0,"Singapore",1,1
"2",1.2,1,0,21,0,4,1,4,1,5,1,1,1,4,5,1,4,1,4,1,4,4,2,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1.83333333333333,2,3,2,2,1,1,2,1,"",NA,1
"3",2.1,2,0,21,0,3,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,3,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,2,2,1,1,2.83333333333333,2,3,1,3,4,4,3,0,"Malaysia",0.5,0
"4",2.2,2,0,19,0,4,1,3,1,3,1,1,1,3,3,1,2,1,1,1,2,2,2,3,1,1,1,4,1,1,1,3,2,1,1,1,1,3,1,1,1,1,1,3.83333333333333,5,6,4,4,2,2,3,1,"",4,0
"5",2.3,2,0,20,0,4,1,4,1,4,1,1,1,4,4,1,4,1,4,1,4,5,1,4,1,1,1,4,1,1,5,5,4,1,1,4,3,4,1,1,1,2,1,4.5,5,6,5,5,4,2,3,0,"Malaysia",1,0
"6",5.1,5,0,21,0,3,2,3,1,1,1,1,1,1,2,1,3,1,2,4,4,4,1,2,4,4,4,2,4,2,3,3,1,1,1,1,1,3,4,2,2,4,6,2.16666666666667,3,2,1,1,4,2,5,0,"Hong Kong",2.5,0
"7",5.2,5,0,19,0,4,1,2,1,1,1,1,1,2,1,1,1,1,2,2,1,2,1,3,1,1,1,2,1,1,1,1,1,1,1,1,4,2,1,1,1,1,1,2.5,3,1,2,3,4,2,5,0,"Malaysia",5,0
"8",5.3,5,0,20,0,4,1,4,1,3,1,1,1,4,4,1,3,1,3,1,4,4,3,4,1,1,1,4,1,1,3,3,4,2,1,1,2,4,1,1,1,2,2,3,4,5,3,4,1,1,5,0,"Malaysia",0.125,0
"9",5.4,5,0,20,0,3,3,3,1,2,1,1,1,3,1,3,4,2,2,3,3,4,1,3,1,1,1,3,1,2,2,3,2,1,1,1,2,2,1,1,1,3,3,3.33333333333333,3,5,4,1,2,5,5,0,"(not answered)",12,0
"10",5.5,5,0,23,1,4,2,3,2,3,1,1,1,3,1,1,3,1,2,1,4,4,2,3,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,4.16666666666667,5,5,4,6,2,3,5,0,"Singapore",1,1
