"","subid","groupnr","condition","subage","subgender","feel_interested","feel_distressed","feel_excited","feel_upset","feel_strong","feel_guilty","feel_scared","feel_hostile","feel_enthusiastic","feel_proud","feel_irritable","feel_alert","feel_ashamed","feel_inspired","feel_nervous","feel_determined","feel_attentive","feel_jittery","feel_active","feel_afraid","task_threatening","task_fearful","task_enjoyable","task_worrying","task_hostile","task_challenging","task_stimulating","task_exhilarating","task_painful","task_depressing","task_pitiful","task_informative","task_exciting","task_frightening","task_terrifying","task_intolerable","task_intense","task_unpleasant","cooperation","lottery1","lottery2","lottery3","lottery4","lottery5","lottery6"
"1","MAA",1,0,20,1,4,1,3,3,2,1,1,1,3,2,1,2,1,3,1,2,4,2,3,1,2,1,2,1,1,3,2,3,2,1,1,3,2,1,1,1,2,2,2.83333333333333,3,4,3,2,3,2
"2","MAB",1,0,19,0,4,2,4,4,3,1,2,1,4,2,1,2,1,2,3,3,4,3,4,1,1,1,2,1,1,2,3,2,1,1,1,2,4,1,1,1,1,1,3.16666666666667,4,4,3,3,4,1
"3","MAC",1,0,20,0,4,1,3,3,2,2,4,1,4,2,2,3,2,4,3,3,3,4,3,4,2,2,2,4,3,4,5,2,1,4,1,3,4,3,3,1,2,3,2.5,4,3,2,2,2,2
"4","MBA",2,0,19,1,3,1,2,2,1,1,1,1,2,1,2,3,1,1,2,3,4,1,4,1,1,1,3,2,1,3,3,3,3,2,1,2,2,1,1,2,1,1,4.66666666666667,7,2,2,3,7,7
"5","MBB",2,0,19,0,4,1,2,1,2,1,1,1,2,1,1,1,2,2,1,2,3,1,2,1,1,1,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,2,2.16666666666667,1,2,3,3,1,3
"6","MBC",2,0,20,0,4,1,3,1,2,1,1,1,4,3,1,2,1,2,1,3,4,1,4,1,1,1,4,1,1,5,4,3,3,2,1,3,4,1,1,2,1,1,6,7,7,7,7,7,1
"7","MCA",3,0,19,0,4,1,4,4,3,1,1,1,4,3,1,4,1,4,3,3,4,3,4,1,1,1,3,1,1,3,2,3,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1
"8","MCB",3,0,23,1,3,1,2,4,2,1,1,1,3,2,1,1,3,2,1,4,3,1,4,1,2,1,2,2,1,4,2,2,1,1,3,1,3,1,1,2,2,3,3.5,7,7,1,1,1,4
"9","MCC",3,0,20,1,4,2,4,3,4,3,2,2,3,1,1,4,1,1,3,4,4,3,4,1,1,1,3,2,1,3,1,1,2,3,1,1,2,1,1,1,2,3,4.5,5,6,4,3,7,2
"10","MDA",4,0,20,0,3,1,2,1,3,1,1,1,2,1,1,3,1,4,1,2,4,1,3,1,1,1,3,3,1,3,3,1,1,1,1,3,1,1,1,1,1,1,5.83333333333333,7,6,5,7,5,5
"11","MDB",4,0,20,1,5,3,4,4,2,1,1,1,3,2,1,4,3,1,4,4,5,3,3,1,1,1,2,1,1,4,3,1,1,1,1,2,2,1,1,1,1,1,7,7,7,7,7,7,7
"12","MDC",4,0,24,0,3,1,2,1,3,1,1,1,5,4,1,4,1,5,2,5,5,1,4,1,1,1,3,1,1,3,2,1,1,1,1,2,1,1,1,1,1,1,2.83333333333333,2,5,3,1,4,2
"13","MEA",5,0,24,1,4,3,4,4,4,2,1,2,4,4,2,2,1,5,2,4,4,2,4,1,1,1,3,1,1,4,3,4,1,1,1,2,4,1,1,1,1,2,1.33333333333333,1,1,2,2,1,1
"14","MEB",5,0,22,1,4,1,3,2,3,1,1,1,4,3,1,2,1,3,2,4,3,2,3,1,1,1,2,1,1,3,3,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1
"15","MEC",5,0,21,1,4,1,3,2,2,1,1,1,4,3,1,2,1,3,2,3,4,1,4,1,1,1,3,1,1,3,2,1,1,1,1,1,3,1,1,1,1,1,3.16666666666667,7,4,5,1,1,1
"16","MFA",6,0,22,0,4,2,3,4,2,1,1,1,4,2,2,4,2,2,4,2,4,3,4,2,2,1,3,4,1,4,4,3,3,3,2,3,4,1,1,3,3,4,5,7,7,4,4,4,4
"17","MFB",6,0,24,0,3,2,4,4,4,1,2,2,4,3,3,4,1,3,3,4,4,1,4,1,1,1,4,2,1,4,3,3,1,2,1,2,4,1,1,1,1,1,6,6,7,6,7,6,4
"18","MFC",6,0,19,0,4,1,2,1,3,1,1,1,3,3,1,1,1,3,2,4,5,2,4,1,1,1,2,2,1,4,3,3,1,1,1,2,4,1,1,1,2,3,4.5,4,4,5,5,5,4
"19","MGA",7,0,24,1,3,1,4,3,4,1,2,1,4,3,1,2,1,4,2,4,4,2,5,1,2,2,3,2,1,4,4,4,2,1,1,4,4,2,1,1,2,1,5.5,4,5,6,6,6,6
"20","MGB",7,0,21,0,4,1,4,3,4,2,1,1,3,4,2,2,2,4,3,4,2,2,5,2,2,2,3,2,1,5,3,3,1,2,1,3,3,1,1,1,2,2,3.33333333333333,4,4,4,4,2,2
"21","MGC",7,0,19,0,5,3,4,2,1,1,1,1,3,2,1,1,3,2,3,1,4,4,4,1,1,1,1,1,1,5,3,2,2,1,1,1,3,1,1,1,2,2,2.83333333333333,3,5,1,2,3,3
"22","MHA",8,0,20,0,4,1,3,1,3,1,1,1,5,5,1,1,1,4,1,3,4,1,3,1,1,1,3,1,1,5,4,3,1,4,1,3,4,1,1,1,1,1,4.16666666666667,4,7,5,1,2,6
"23","MHB",8,0,21,0,3,1,4,2,3,1,1,1,3,2,1,2,2,3,2,3,3,2,4,2,1,1,3,2,1,3,3,3,1,1,1,1,3,1,1,1,2,3,2.66666666666667,7,1,3,1,2,2
"24","MHC",8,0,21,0,5,1,4,1,3,1,1,1,4,3,1,4,1,4,2,4,4,1,4,1,1,1,2,2,1,4,4,1,1,1,1,2,4,1,1,1,1,2,3,3,4,1,5,4,1
"25","MIA",9,0,20,1,3,1,2,2,2,1,1,1,2,2,1,3,1,1,2,2,3,1,3,1,1,1,3,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7
"26","MIB",9,0,20,1,4,1,4,1,4,1,1,1,4,4,1,3,1,2,1,4,4,1,3,1,1,1,2,1,1,3,2,2,1,1,1,2,3,1,1,1,1,1,7,7,7,7,7,7,7
"27","MIC",9,0,20,0,4,1,4,1,3,1,1,1,4,4,1,4,1,4,2,5,5,1,5,1,1,1,3,2,1,5,4,3,1,1,1,4,4,1,1,1,1,4,7,7,7,7,7,7,7
"28","MJA",10,0,20,1,5,1,4,2,4,1,1,1,3,2,1,4,1,1,3,1,4,3,4,1,1,1,2,1,1,4,2,3,1,1,1,1,4,1,1,1,1,1,5.33333333333333,1,4,6,7,7,7
"29","MJB",10,0,20,0,4,1,3,3,4,1,1,2,4,4,1,3,1,2,2,5,5,2,4,3,1,1,3,1,1,4,2,2,1,1,1,1,3,1,1,1,2,1,5.5,5,4,5,5,7,7
"30","MJC",10,0,20,1,2,3,1,2,4,1,3,1,4,3,2,3,2,2,3,4,4,2,4,3,1,1,3,1,1,4,4,4,1,2,3,2,3,1,1,1,1,1,4.5,2,3,4,5,6,7
"31","MKA",11,0,21,0,4,1,4,2,3,1,1,1,4,2,1,1,1,3,1,3,4,1,4,1,1,1,3,1,1,4,3,3,1,1,1,2,4,1,1,1,1,1,4.16666666666667,2,7,1,2,7,6
"32","MKB",11,0,21,0,4,1,3,2,3,1,2,1,4,3,1,3,1,1,2,1,3,3,2,2,1,1,3,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,3.16666666666667,4,1,6,2,3,3
"33","MKC",11,0,21,1,5,1,4,4,4,1,2,1,5,4,2,3,2,4,4,3,3,2,4,2,2,2,4,2,1,4,2,4,1,1,1,2,3,1,1,1,2,2,5.66666666666667,5,6,5,6,5,7
"34","MLA",25,0,20,0,3,1,2,1,1,1,1,1,2,1,2,3,2,1,2,3,4,2,2,1,1,1,2,1,1,4,2,1,1,1,1,2,3,1,1,1,1,2,3.66666666666667,2,6,2,5,3,4
