"","subid","cnumber","ctransactiontime","structure","visibility","incentives","gender","bornafter1990","device","managerial","median_speed","cartpercentmin","cartpercentmax","study"
"1","Sub1",1,18.161,"Single","Full.Visibility","Flat","Female",1,"Mouse","No",13.1485,0,0.03030303,"lab"
"2","Sub2",1,18.8,"Parallel","Full.Visibility","Flat","Female",1,"Mouse","No",15.845,0,0.03125,"lab"
"3","Sub5",1,12.605,"Single","Full.Visibility","Flat","Male",1,"Mouse","No",13.871,0,0.03125,"lab"
"4","Sub7",1,19.98,"Single","Full.Visibility","Flat","Male",1,"Mouse","No",12.96,0,0.03125,"lab"
"5","Sub10",1,17.198,"Single","Full.Visibility","Flat","Female",1,"Mouse","No",20.625,0,0.035714286,"lab"
"10","Sub27",1,14.478,"Single","Full.Visibility","Flat","Male",1,"Mouse","No",13.42,0,0.028571429,"lab"
"11","Sub32",1,13.782,"Parallel","Full.Visibility","Flat","Male",1,"Mouse","No",12.939,0,0.025641026,"lab"
"12","Sub35",1,19.909,"Single","Full.Visibility","Flat","Female",1,"Mouse","No",16.843,0,0.035714286,"lab"
"14","Sub43",1,10.46,"Parallel","Full.Visibility","Flat","Male",1,"Mouse","No",13.797,0,0.027027027,"lab"
"15","Sub44",1,28.595,"Parallel","Full.Visibility","Flat","Female",1,"Mouse","No",17.0955,0,0.034482759,"lab"
"20","Sub64",1,9.904,"Parallel","Full.Visibility","Flat","Male",1,"Mouse","No",11.724,0,0.022222222,"lab"
"23","Sub77",1,19.117,"Parallel","Full.Visibility","Flat","Male",0,"Mouse","No",15.019,0,0.03125,"lab"
"24","Sub78",1,16.095,"Single","Full.Visibility","Flat","Female",1,"Mouse","No",15.6645,0,0.03030303,"lab"
"28","Sub85",1,28.308,"Single","Full.Visibility","Flat","Male",1,"Mouse","No",17.467,0,0.037037037,"lab"
"29","Sub87",1,20.448,"Parallel","Full.Visibility","Flat","Female",1,"Mouse","No",13.628,0,0.03125,"lab"
"30","Sub89",1,13.049,"Single","Full.Visibility","Flat","Male",1,"Mouse","No",10.426,0,0.029411765,"lab"
"34","Sub108",1,18.033,"Parallel","Full.Visibility","Flat","Male",1,"Mouse","No",11.1875,0,0.026315789,"lab"
"35","Sub110",1,12.75,"Single","Full.Visibility","Flat","Male",1,"Mouse","No",14.128,0,0.038461538,"lab"
"36","Sub114",1,15.319,"Single","Full.Visibility","Flat","Female",1,"Mouse","No",16.899,0,0.033333333,"lab"
"38","Sub124",1,21.523,"Parallel","Full.Visibility","Flat","Female",1,"Mouse","No",15.003,0,0.03125,"lab"
"40","Sub139",1,14.609,"Parallel","Full.Visibility","Flat","Male",1,"Mouse","Yes",12.882,0,0.028571429,"lab"
"42","Sub144",1,19.089,"Single","Full.Visibility","Flat","Male",1,"Mouse","No",20.629,0,0.043478261,"lab"
"44","Sub150",1,14.325,"Parallel","Full.Visibility","Flat","Male",1,"Mouse","No",15.4405,0,0.03030303,"lab"
"45","Sub155",1,17.594,"Parallel","Full.Visibility","Flat","Female",1,"MousePad","No",21.85,0,0.041666667,"lab"
"47","Sub158",1,17.397,"Parallel","Full.Visibility","Flat","Male",1,"Mouse","Yes",15.3405,0,0.03030303,"lab"
"50","Sub168",1,27.074,"Single","Full.Visibility","Flat","Male",1,"Mouse","No",27.702,0,0.055555556,"lab"
"53","Sub177",1,19.456,"Single","Full.Visibility","Flat","Male",1,"Mouse","No",15.447,0,0.034482759,"lab"
"54","Sub181",1,14.011,"Parallel","Full.Visibility","Flat","Male",0,"Mouse","No",14.195,0,0.028571429,"lab"
"56","Sub189",1,14.934,"Single","Full.Visibility","Flat","Female",0,"Mouse","No",17.123,0,0.035714286,"lab"
"57","Sub192",1,16.691,"Parallel","Full.Visibility","Flat","Male",1,"Mouse","No",15.382,0,0.03125,"lab"
"58","Sub195",1,20.876,"Single","Full.Visibility","Flat","Female",1,"Mouse","No",16.286,0,0.033333333,"lab"
"59","Sub216",1,16.843,"Single","Full.Visibility","Flat","Female",1,"Mouse","No",15.9925,0,0.03030303,"lab"
"60","Sub219",1,10.503,"Parallel","Full.Visibility","Flat","Male",1,"Mouse","No",10.347,0,0.022727273,"lab"
"61","Sub220",1,57.429,"Single","Full.Visibility","Flat","Female",1,"Mouse","No",18.833,0,0.04,"lab"
"66","Sub240",1,24.132,"Single","Full.Visibility","Flat","Female",1,"Mouse","No",20.2195,0,0.04,"lab"
"67","Sub243",1,14.185,"Single","Full.Visibility","Flat","Female",1,"Mouse","Yes",11.307,0,0.027777778,"lab"
"70","Sub264",1,16.12,"Parallel","Full.Visibility","Flat","Female",1,"Mouse","No",15.644,0,0.028571429,"lab"
"74","Sub280",1,14.912,"Single","Full.Visibility","Flat","Male",1,"Mouse","No",15.087,0,0.03125,"lab"
"75","Sub291",1,15.771,"Parallel","Full.Visibility","Flat","Female",1,"Mouse","No",14.401,0,0.03030303,"lab"
"76","Sub294",1,22.043,"Single","Full.Visibility","Flat","Female",0,"Mouse","No",16.811,0,0.033333333,"lab"
