"","subid","cnumber","ctransactiontime","structure","visibility","incentives","gender","bornafter1990","device","managerial","median_speed","cartpercentmin","cartpercentmax","study"
"1","Sub1",1,379.442,"Parallel","Full.Visibility","Flat","Male",0,"Mouse","Yes",51.901,0,0.3333333,"UWMadison"
"4","Sub2",1,540.173,"Parallel","Full.Visibility","Flat","Male",0,"Mouse","No",24.415,0,0.3333333,"UWMadison"
"7","Sub3",1,370.687,"Parallel","Full.Visibility","Flat","Male",1,"MousePad","Yes",40.3525,0,0.2,"UWMadison"
"12","Sub4",1,353.778,"Parallel","Full.Visibility","Flat","Male",0,"MousePad","Yes",41.516,0,0.2,"UWMadison"
"17","Sub5",1,243.739,"Parallel","Full.Visibility","Flat","Male",0,"Mouse","Yes",49.906,0,0.1428571,"UWMadison"
"24","Sub6",1,434.164,"Parallel","Full.Visibility","Flat","Male",1,"Mouse","Yes",23.103,0,0.1428571,"UWMadison"
"31","Sub7",1,67.31,"Parallel","Full.Visibility","Flat","Female",1,"Mouse","Yes",53.165,0,0.1428571,"UWMadison"
"38","Sub8",1,139.376,"Parallel","Full.Visibility","Flat","Male",0,"Mouse","Yes",42.037,0,0.125,"UWMadison"
"46","Sub9",1,60.568,"Parallel","Full.Visibility","Flat","Male",0,"MousePad","Yes",47.782,0,0.1111111,"UWMadison"
"55","Sub10",1,38.69,"Parallel","Full.Visibility","Flat","Male",0,"MousePad","No",45.369,0,0.1111111,"UWMadison"
"64","Sub11",1,31.374,"Parallel","Full.Visibility","Flat","Female",0,"MousePad","Yes",49.688,0,0.1111111,"UWMadison"
"73","Sub12",1,390.103,"Parallel","Full.Visibility","Flat","Male",0,"Mouse","No",17.6965,0,0.1111111,"UWMadison"
"82","Sub13",1,32.394,"Parallel","Full.Visibility","Flat","Male",1,"Mouse","No",41.954,0,0.1,"UWMadison"
"92","Sub14",1,42.002,"Parallel","Full.Visibility","Flat","Male",0,"Mouse","Yes",19.377,0,0.1,"UWMadison"
"102","Sub15",1,30.215,"Parallel","Full.Visibility","Flat","Male",0,"Mouse","No",66.1615,0,0.1,"UWMadison"
"112","Sub16",1,157.211,"Parallel","Full.Visibility","Flat","Female",1,"Mouse","No",34.759,0,0.1,"UWMadison"
"122","Sub17",1,43.253,"Parallel","Full.Visibility","Flat","Male",0,"Mouse","No",45.777,0,0.0909091,"UWMadison"
"133","Sub18",1,135.519,"Parallel","Full.Visibility","Flat","Female",0,"Mouse","Yes",26.438,0,0.0909091,"UWMadison"
"144","Sub19",1,66.622,"Parallel","Full.Visibility","Flat","Male",0,"Mouse","Yes",28.182,0,0.0833333,"UWMadison"
"156","Sub20",1,64.708,"Parallel","Full.Visibility","Flat","Female",0,"Mouse","Yes",44.044,0,0.0833333,"UWMadison"
"168","Sub21",1,23.132,"Parallel","Full.Visibility","Flat","Female",1,"Mouse","No",66.147,0,0.0833333,"UWMadison"
"180","Sub22",1,23.605,"Parallel","Full.Visibility","Flat","Female",1,"Mouse","Yes",20.325,0,0.0769231,"UWMadison"
"193","Sub23",1,199.009,"Parallel","Full.Visibility","Flat","Female",1,"Mouse","Yes",24.2785,0,0.0769231,"UWMadison"
"206","Sub24",1,48.738,"Parallel","Full.Visibility","Flat","Male",0,"Mouse","No",43.8315,0,0.0769231,"UWMadison"
"219","Sub25",1,32.083,"Parallel","Full.Visibility","Flat","Male",1,"Mouse","No",28.2065,0,0.0714286,"UWMadison"
"233","Sub26",1,25.263,"Parallel","Full.Visibility","Flat","Male",0,"MousePad","Yes",19.977,0,0.0714286,"UWMadison"
"247","Sub27",1,72.675,"Parallel","Full.Visibility","Flat","Male",1,"MousePad","No",39.2405,0,0.0714286,"UWMadison"
"261","Sub28",1,43.772,"Parallel","Full.Visibility","Flat","Male",1,"MousePad","Yes",36.2075,0,0.0714286,"UWMadison"
"275","Sub29",1,52.775,"Parallel","Full.Visibility","Flat","Male",1,"MousePad","No",32.959,0,0.0666667,"UWMadison"
"290","Sub30",1,160.783,"Parallel","Full.Visibility","Flat","Male",1,"MousePad","Yes",24.447,0,0.0666667,"UWMadison"
"305","Sub31",1,165.924,"Parallel","Full.Visibility","Flat","Female",0,"Mouse","Yes",21.653,0,0.0625,"UWMadison"
"321","Sub32",1,27.795,"Parallel","Full.Visibility","Flat","Female",0,"Mouse","Yes",33.622,0,0.0625,"UWMadison"
"337","Sub33",1,39.245,"Parallel","Full.Visibility","Flat","Male",0,"Mouse","Yes",31.826,0,0.0625,"UWMadison"
"353","Sub34",1,74.332,"Parallel","Full.Visibility","Flat","Female",0,"Mouse","Yes",27.04,0,0.0588235,"UWMadison"
"370","Sub35",1,19.192,"Parallel","Full.Visibility","Flat","Male",0,"Mouse","No",29.4995,0,0.0588235,"UWMadison"
"387","Sub36",1,52.609,"Parallel","Full.Visibility","Flat","Male",0,"Mouse","Yes",27.174,0,0.0588235,"UWMadison"
"404","Sub37",1,46.412,"Parallel","Full.Visibility","Flat","Male",1,"Mouse","Yes",26.765,0,0.0555556,"UWMadison"
"422","Sub38",1,69.951,"Parallel","Full.Visibility","Flat","Female",0,"MousePad","Yes",30.9405,0,0.0555556,"UWMadison"
"440","Sub39",1,34.274,"Parallel","Full.Visibility","Flat","Female",0,"Mouse","Yes",25.2685,0,0.0555556,"UWMadison"
"458","Sub40",1,59.999,"Parallel","Full.Visibility","Flat","Male",1,"Mouse","No",21.7875,0,0.0555556,"UWMadison"
"476","Sub41",1,34.573,"Parallel","Full.Visibility","Flat","Male",0,"Mouse","Yes",28.204,0,0.0526316,"UWMadison"
"495","Sub42",1,47.14,"Parallel","Full.Visibility","Flat","Female",0,"Mouse","Yes",22.839,0,0.0526316,"UWMadison"
"514","Sub43",1,54.371,"Parallel","Full.Visibility","Flat","Male",0,"Mouse","Yes",24.271,0,0.0526316,"UWMadison"
"533","Sub44",1,55.868,"Parallel","Full.Visibility","Flat","Male",1,"Mouse","Yes",20.172,0,0.05,"UWMadison"
"553","Sub45",1,34.805,"Parallel","Full.Visibility","Flat","Male",0,"Mouse","No",24.565,0,0.05,"UWMadison"
"573","Sub46",1,68,"Parallel","Full.Visibility","Flat","Male",1,"MousePad","Yes",21.252,0,0.05,"UWMadison"
"593","Sub47",1,36.125,"Parallel","Full.Visibility","Flat","Male",0,"Mouse","Yes",24.934,0,0.05,"UWMadison"
"613","Sub48",1,33.039,"Parallel","Full.Visibility","Flat","Male",0,"Mouse","Yes",23.9565,0,0.0454545,"UWMadison"
"635","Sub49",1,27.172,"Parallel","Full.Visibility","Flat","Female",1,"MousePad","No",25.15,0,0.0454545,"UWMadison"
