"","Gender","Treatment","Dice_report","Report_time","Happy","Loving","Tired","Calm","Gloomy","Fed_up","Sad","Content","Cheerful","active","active2","tired2","angry","tense","angry2","pos_mood","neg_mood"
"1",0,0,"1.00",28.26,"3.00","3.00","5.00","3.00","1.00","2.00","2.00","2.00","2.00","1.00","1.00","5.00","3.00","2.00","2.00","2.14","2.67"
"2",0,0,"1.00",4.86,"4.00","5.00","3.00","4.00","1.00","2.00","1.00","3.00","2.00","1.00","1.00","3.00","1.00","1.00","1.00","2.86","1.56"
"3",0,0,"1.00",10.33,"4.00","3.00","4.00","5.00","2.00","1.00","1.00","3.00","2.00","2.00","3.00","4.00","3.00","2.00","3.00","3.14","2.33"
"4",0,0,"2.00",9.03,"2.00","1.00","1.00","3.00","3.00","2.00","3.00","2.00","2.00","1.00","2.00","1.00","3.00","2.00","3.00","1.86","2.33"
"5",0,0,"3.00",11.17,"3.00","2.00","4.00","2.00","4.00","2.00","2.00","3.00","2.00","2.00","2.00","4.00","1.00","3.00","1.00","2.29","2.67"
"6",0,0,"3.00",12.09,"3.00","4.00","2.00","3.00","3.00","4.00","2.00","4.00","2.00","2.00","3.00","4.00","3.00","1.00","2.00","3.00","2.67"
"7",0,0,"4.00",33.4,"2.00","2.00","5.00","2.00","4.00","2.00","4.00","2.00","2.00","2.00","2.00","5.00","4.00","2.00","4.00","2.00","3.56"
"8",0,0,"4.00",8.78,"4.00","3.00","2.00","3.00","2.00","2.00","1.00","3.00","2.00","3.00","4.00","2.00","1.00","2.00","1.00","3.14","1.78"
"9",1,0,"5.00",21.48,"4.00","1.00","5.00","4.00","1.00","4.00","1.00","3.00","2.00","2.00","2.00","5.00","1.00","2.00","1.00","2.57","2.56"
"10",1,0,"1.00",8.11,"3.00","4.00","3.00","5.00","1.00","4.00","1.00","3.00","3.00","4.00","4.00","3.00","1.00","1.00","1.00","3.71","1.78"
"11",0,0,"1.00",5.95,"4.00","4.00","1.00","3.00","1.00","3.00","1.00","3.00","3.00","3.00","4.00","2.00","2.00","2.00","1.00","3.43","1.67"
"12",0,0,"1.00",10.35,"4.00","4.00","3.00","4.00","1.00","1.00","1.00","3.00","3.00","3.00","3.00","3.00","1.00","1.00","1.00","3.43","1.56"
"13",0,0,"2.00",3.46,"3.00","5.00","1.00","3.00","3.00","3.00","2.00","2.00","3.00","3.00","3.00","1.00","2.00","2.00","1.00","3.14","2.11"
