"","Gender","Treatment","Dice_report","Report_time","Happy","Loving","Tired","Calm","Gloomy","Fed_up","Sad","Content","The.ratio.between.the.dice.roll.and.the.possible.reward.is...","What.is.the.chance.that.you.will.get.the.reward.","My.dice.role.was.fully.anonymous.only.I.could.know.what.I.rolled.","Several.students.will.receive.a.monetary.reward.for.the.dice.under.cup.game.","Age","Native.language.dutch","Nationality.dutch","Education","Lively","Peppy","Caring","Drowsy","Nervous","Jittery","Grouchy"
"1",1,1,6,2.195,2,2,4,4,2,0,1,2,"The reward (in euro) is four times the outcome of the dice roll.",30,"Strongly believe","Strongly do not believe",20,1,1,2,2,1,1,4,0,0,1
"4",0,1,1,5.566,2,4,4,2,2,4,2,2,"The reward (in euro) is two times the outcome of the dice roll.",5,"Do not believe","Do not believe",18,1,1,2,1,4,4,4,2,2,1
"5",0,0,4,5.672,1,4,2,0,2,4,1,1,"The reward (in euro) is equal to the outcome of the dice roll.",100,"Strongly believe","Strongly believe",19,1,1,2,4,2,4,2,2,4,0
"6",0,1,1,5.347,1,2,1,0,0,2,0,2,"The reward (in euro) is two times the outcome of the dice roll.",75,"Strongly believe","Believe",19,1,1,2,2,2,2,1,1,1,0
"7",0,0,6,13.481,2,4,4,4,1,0,1,2,"The reward (in euro) is equal to the outcome of the dice roll.",1,"Believe","Do not believe",19,1,1,2,2,1,4,2,0,2,0
"8",1,0,2,8.967,4,4,4,1,0,0,0,4,"The reward (in euro) is two times the outcome of the dice roll.",0,"Strongly believe","Strongly do not believe",20,1,1,2,2,2,4,4,2,0,0
"9",0,1,2,4.235,1,2,4,4,2,2,1,2,"The reward (in euro) is two times the outcome of the dice roll.",82,"Believe","Neutral",20,1,1,2,0,1,2,4,0,1,2
"10",1,0,3,4.815,0,4,4,4,4,4,4,1,"The reward (in euro) is two times the outcome of the dice roll.",13,"Believe","Do not believe",18,1,1,2,2,1,2,4,0,0,2
"11",0,0,6,9.795,4,2,2,2,0,1,0,4,"The reward (in euro) is two times the outcome of the dice roll.",50,"Strongly believe","Neutral",19,1,1,9,1,1,2,2,0,0,0
"12",0,0,2,7.946,2,4,4,4,0,2,0,1,"The reward (in euro) is two times the outcome of the dice roll.",38,"Strongly believe","Strongly believe",18,1,1,2,2,1,4,4,0,1,2
"13",0,0,1,16.143,2,0,4,4,0,1,0,2,"The reward (in euro) is two times the outcome of the dice roll.",20,"Strongly believe","Neutral",19,1,1,2,1,1,1,4,0,0,0
"14",0,0,1,7.396,1,2,1,2,1,0,2,1,"The reward (in euro) is two times the outcome of the dice roll.",5,"Strongly believe","Strongly believe",18,1,1,2,2,2,2,1,0,0,1
"15",0,0,5,8.644,2,2,2,4,0,2,1,2,"The reward (in euro) is two times the outcome of the dice roll.",50,"Believe","Neutral",19,1,1,3,2,2,2,2,0,1,1
"16",0,1,4,2.285,4,4,2,4,0,0,0,4,"The reward (in euro) is two times the outcome of the dice roll.",7,"Strongly believe","Do not believe",19,1,1,2,2,2,4,4,0,0,1
"17",0,1,1,5.142,2,2,4,2,0,1,0,2,"The reward (in euro) is two times the outcome of the dice roll.",1,"Strongly believe","Strongly do not believe",18,1,1,2,1,1,2,4,0,0,1
"18",0,1,6,6.786,2,2,1,2,0,0,0,2,"The reward (in euro) is two times the outcome of the dice roll.",20,"Strongly do not believe","Do not believe",18,1,1,9,2,2,4,1,0,0,0
"19",0,1,3,5.61,2,4,4,0,2,1,2,1,"The reward (in euro) is two times the outcome of the dice roll.",20,"Believe","Do not believe",18,1,1,2,2,2,4,2,4,4,2
"20",1,0,2,8.295,1,1,2,1,1,2,2,1,"The reward (in euro) is two times the outcome of the dice roll.",33,"Do not believe","Strongly do not believe",18,1,1,9,1,1,0,2,0,4,4
"21",0,1,3,6.73,2,1,4,4,0,2,2,1,"The reward (in euro) is two times the outcome of the dice roll.",50,"Strongly believe","Neutral",20,1,1,2,1,1,2,4,0,0,2
"22",0,1,1,5.398,1,1,2,2,2,4,2,1,"The reward (in euro) is two times the outcome of the dice roll.",19,"Strongly believe","Neutral",18,1,1,2,0,1,1,2,1,1,2
"23",0,0,1,10.142,2,1,2,4,0,1,0,2,"The reward (in euro) is two times the outcome of the dice roll.",10,"Believe","Neutral",18,1,1,2,1,2,2,1,0,0,0
"24",0,0,5,9.482,4,4,2,2,0,1,0,2,"The reward (in euro) is two times the outcome of the dice roll.",1,"Strongly believe","Do not believe",19,1,1,2,4,4,4,1,0,0,1
"25",0,0,6,5.099,2,1,2,2,1,2,0,2,"The reward (in euro) is two times the outcome of the dice roll.",36,"Strongly believe","Do not believe",18,1,1,2,1,1,1,2,0,0,0
"26",1,1,6,6.733,1,0,4,2,1,1,1,2,"The reward (in euro) is two times the outcome of the dice roll.",4,"Believe","Neutral",21,1,1,5,0,0,0,4,1,2,1
"27",0,1,2,4.184,2,2,2,2,0,1,1,4,"The reward (in euro) is half of the outcome of the dice roll.",0,"Strongly believe","Do not believe",18,1,1,2,1,1,2,2,0,0,0
"28",0,1,1,4.105,2,4,0,4,0,0,0,2,"The reward (in euro) is two times the outcome of the dice roll.",13,"Strongly believe","Strongly believe",18,1,1,2,2,2,4,0,1,0,0
