"","X","Gender","Treatment","Dice_report","Report_time","The.ratio.between.the.dice.roll.and.the.possible.reward.is...","What.is.the.chance.that.you.will.get.the.reward.","My.dice.role.was.fully.anonymous.only.I.could.know.what.I.rolled.","Several.students.will.receive.a.monetary.reward.for.the.dice.under.cup.game.","Age","MotherTongue","Nationality","Study","What.was.your.perceived.time.pressure.during.the.die.roll.","Have.you.ever.participated.in.an.experiment.with.a.comparable.die.rolling.task."
"1",1,1,1,5,6.123,"The reward (in euro) is two times the outcome of the dice roll",56,"Strongly agree","Strongly agree","22","Luxembourgish","Luxembourgish","Communication Science","Very high","Yes"
"2",2,0,1,5,3.649,"The reward (in euro) is two times the outcome of the dice roll",75,"Neutral","Agree","19","Russian","Russian","Business and Economics","High","Yes"
"3",3,0,1,2,4.147,"The reward (in euro) is two times the outcome of the dice roll",25,"Strongly agree","Strongly agree","18","Dutch","Dutch","sociale georgafie","High","Yes"
"4",4,0,1,6,7.649,"The reward (in euro) is two times the outcome of the dice roll",6,"Neutral","Strongly disagree","22","Greek","Greek","Psychology Bachelor","Neutral","Yes"
"5",5,1,1,3,7.552,"The reward (in euro) is two times the outcome of the dice roll",50,"Agree","Agree","23","Dutch","dutch","legal psychology","Neutral","Yes"
"6",6,1,0,4,6.085,"The reward (in euro) is two times the outcome of the dice roll",10,"Strongly agree","Strongly agree","22","Dutch","Dutch","Conflict Resolution and Governance (MSc)","Neutral","Yes"
"7",7,1,1,6,5.437,"The reward (in euro) is two times the outcome of the dice roll",86,"Strongly agree","Strongly agree","18","Dutch","Dutch","Psychologie","Neutral","Yes"
"8",8,0,0,4,4.435,"The reward (in euro) is two times the outcome of the dice roll",83,"Strongly agree","Strongly agree","18","Dutch","Dutch","sociale geografie en planologie","Neutral","Yes"
"9",9,0,0,4,6.621,"The reward (in euro) is two times the outcome of the dice roll",19,"Strongly agree","Strongly agree","20","German","German","Psychology","Neutral","Yes"
"10",10,1,0,5,5.273,"The reward (in euro) is two times the outcome of the dice roll",25,"Strongly agree","Strongly agree","19","Dutch","Dutch","Psychologie","Low","Yes"
"11",11,0,1,3,5.775,"The reward (in euro) is two times the outcome of the dice roll",33,"Strongly agree","Strongly agree","20","Dutch","Dutch","Psychologie","Low","Yes"
"12",12,0,1,3,0.996,"The reward (in euro) is two times the outcome of the dice roll",50,"Strongly agree","Strongly agree","18","Hebrew","israeli","psychology","Low","Yes"
"13",13,1,0,4,7.458,"The reward (in euro) is half of the outcome of the dice roll",61,"Agree","Agree","19","Hungarian","Hungarian","psychology","Low","Yes"
"14",14,1,1,4,5.003,"The reward (in euro) is half of the outcome of the dice roll",100,"Strongly agree","Strongly agree","22","Korean/English","South Korean","International Trade and Investment Law","Low","Yes"
"15",15,0,0,3,6.129,"The reward (in euro) is equal to the outcome of the dice roll",17,"Strongly agree","Strongly agree","19","Croatian","Croatian","Psychology","Very low","Yes"
"16",16,1,1,1,7.061,"The reward (in euro) is equal to the outcome of the dice roll",29,"Agree","Agree","24","Croatian","Dutch","Medicine","Very high","No"
"17",17,0,1,4,4.162,"The reward (in euro) is two times the outcome of the dice roll",100,"Strongly agree","Agree","22","Egyptisch","Dutch","Master Business Administration","Very high","No"
"18",18,1,1,1,6.053,"The reward (in euro) is two times the outcome of the dice roll",15,"Strongly agree","Agree","23","English","British","International Development Studies","Very high","No"
"19",19,1,0,4,5.069,"The reward (in euro) is two times the outcome of the dice roll",84,"Strongly agree","Agree","24","English","American","International Development Studies","Very high","No"
"20",20,1,1,4,5.191,"The reward (in euro) is two times the outcome of the dice roll",50,"Strongly agree","Strongly agree","23","Dutch","Dutch","psychologie","Very high","No"
"21",21,0,1,6,5.322,"The reward (in euro) is two times the outcome of the dice roll",9,"Strongly agree","Strongly agree","20","Turkish","German","communication science bachelor","Very high","No"
"22",22,1,1,3,4.839,"The reward (in euro) is half of the outcome of the dice roll",30,"Disagree","Neutral","24","dutch","Belgian","Drug development","Very high","No"
"23",23,1,0,2,8.854,"The reward (in euro) is equal to the outcome of the dice roll",18,"Agree","Strongly agree","20","German","German","Psychology","High","No"
"24",24,0,0,3,8.176,"The reward (in euro) is equal to the outcome of the dice roll",31,"Strongly agree","Disagree","24","German","German","Social Sciences","High","No"
"25",25,1,1,5,3.012,"The reward (in euro) is equal to the outcome of the dice roll",10,"Strongly agree","Agree","21","English","German","Psychology","High","No"
"26",26,1,0,3,4.803,"The reward (in euro) is two times the outcome of the dice roll",15,"Strongly disagree","Strongly disagree","21","Dutch","Dutch","Research Master Cognitive and Clinical Neuroscience (Drug Development and Neurohealth)","High","No"
"27",27,0,1,6,6.454,"The reward (in euro) is two times the outcome of the dice roll",10,"Disagree","Agree","26","Dutch","Dutch","Interfacultaire Lerarenopleiding Engels (ILO)","High","No"
"28",28,1,1,3,7.438,"The reward (in euro) is two times the outcome of the dice roll",80,"Disagree","Agree","19","Dutch","Dutch","communication science","High","No"
"29",29,1,0,6,6.186,"The reward (in euro) is two times the outcome of the dice roll",60,"Neutral","Disagree","22","Dutch","Dutch","algemene sociale wetenschappen","High","No"
