"","dummybitter","dummysweet","dummywater","javg","sex","age","policonserv","poliliberal","check_enjoy","check_sweet","check_bitter","check_neutral","check_disgusting","check_regular"
"1",0,0,1,64,0,19,FALSE,TRUE,4,1,1,7,1,6
"2",0,0,0,50.4,1,19,FALSE,FALSE,1,1,6,1,7,1
"3",0,0,1,57.8333333333333,0,20,FALSE,TRUE,4,2,2,7,1,5
"4",0,1,0,74.8333333333333,1,22,FALSE,TRUE,3,7,1,1,4,2
"5",0,1,0,85.6666666666667,1,21,FALSE,TRUE,5,5,1,1,1,4
"6",1,0,0,79.5,1,19,FALSE,TRUE,3,1,5,1,5,3
"7",0,0,1,49.8333333333333,0,23,FALSE,TRUE,4,4,4,4,1,7
"8",0,1,0,100,1,22,TRUE,FALSE,7,7,1,1,1,6
"9",1,0,0,78.1666666666667,0,18,TRUE,FALSE,2,5,5,1,5,2
"10",0,1,0,68.3333333333333,1,21,FALSE,TRUE,4,1,7,3,7,1
"11",0,0,0,39.6666666666667,1,19,FALSE,FALSE,4,1,1,7,1,4
"12",0,0,0,90,1,20,FALSE,FALSE,5,3,4,4,1,3
"13",0,0,0,51.8333333333333,1,20,FALSE,TRUE,4,1,3,5,3,4
"14",1,0,0,93.6666666666667,1,21,TRUE,FALSE,1,1,7,1,7,1
"15",1,0,0,87.1666666666667,0,20,FALSE,TRUE,1,1,7,1,7,1
"16",0,0,1,55.6666666666667,0,18,FALSE,TRUE,4,1,1,3,1,6
"17",0,1,0,57.8333333333333,1,20,TRUE,FALSE,5,5,6,2,2,4
"18",0,0,1,68.3333333333333,1,19,FALSE,TRUE,4,4,1,7,1,7
"19",0,0,0,29.1666666666667,1,21,FALSE,FALSE,1,1,6,1,6,1
"20",0,1,0,87.6666666666667,1,19,FALSE,TRUE,5,5,2,3,1,6
"21",0,0,0,91.3333333333333,0,21,FALSE,TRUE,1,1,7,1,7,1
"22",0,0,1,76.8,0,21,FALSE,TRUE,4,4,4,7,1,7
"23",1,0,0,90.8333333333333,0,20,FALSE,TRUE,1,1,5,1,7,1
"24",0,1,0,79.3333333333333,1,22,FALSE,TRUE,5,6,1,6,1,4
"25",0,1,0,71.1666666666667,1,20,FALSE,TRUE,7,6,2,1,1,6
"26",0,0,1,60.3333333333333,1,19,FALSE,TRUE,4,1,1,1,1,5
"27",1,0,0,83.8333333333333,1,19,FALSE,TRUE,1,2,5,3,6,1
"28",0,0,1,86,0,19,FALSE,TRUE,2,1,1,4,4,1
"29",0,1,0,57.5,1,19,TRUE,FALSE,5,6,1,1,2,5
"30",0,1,0,46.8333333333333,0,20,FALSE,TRUE,4,7,1,3,2,4
"31",0,0,1,48.3333333333333,1,20,FALSE,TRUE,4,1,1,7,1,6
"32",0,0,0,77.8333333333333,1,32,FALSE,TRUE,2,5,3,2,5,2
"33",1,0,0,46.4,0,19,FALSE,TRUE,1,2,7,1,6,1
"34",0,0,0,86.5,0,20,FALSE,FALSE,1,1,7,1,7,1
"35",0,0,1,83.3333333333333,0,21,FALSE,TRUE,4,1,1,7,1,5
"36",0,0,1,91.3333333333333,0,21,FALSE,TRUE,5,2,1,6,1,7
"37",0,0,1,63.8333333333333,0,20,FALSE,TRUE,4,1,1,4,1,7
"38",1,0,0,63.8333333333333,0,18,FALSE,TRUE,1,1,7,1,7,1
"39",1,0,0,62.6666666666667,0,18,FALSE,TRUE,1,1,7,1,7,1
"40",0,0,1,49,0,19,FALSE,TRUE,4,1,1,7,1,7
"41",0,0,0,87.25,1,22,FALSE,FALSE,6,7,1,1,1,6
"42",0,1,0,73.4,1,23,FALSE,TRUE,3,2,6,1,5,4
"43",0,0,0,74.3333333333333,0,20,FALSE,TRUE,5,1,1,6,2,4
"44",1,0,0,83,0,21,FALSE,TRUE,4,1,7,2,5,3
"45",0,0,1,65.3333333333333,1,20,TRUE,FALSE,6,1,1,7,1,7
"46",0,1,0,56.1666666666667,0,19,FALSE,TRUE,6,6,1,1,1,4
"47",0,0,1,62.6666666666667,0,20,FALSE,TRUE,4,1,1,7,4,2
"48",0,1,0,84.2,0,20,TRUE,FALSE,7,7,1,4,1,7
"49",1,0,0,97.6666666666667,0,18,FALSE,TRUE,1,1,7,1,7,1
"50",0,0,1,85.8,1,24,FALSE,TRUE,7,7,1,1,1,7
"51",1,0,0,82.6666666666667,0,18,TRUE,FALSE,1,2,7,2,7,1
"52",0,0,0,84,0,22,FALSE,FALSE,4,1,1,7,1,7
"53",0,1,0,65.8333333333333,1,21,FALSE,TRUE,7,5,5,1,1,7
"54",1,0,0,43,0,19,FALSE,TRUE,4,1,7,1,6,2
"55",1,0,0,36.1666666666667,0,20,FALSE,TRUE,1,1,7,1,7,1
"56",0,1,0,85.5,1,20,FALSE,TRUE,6,4,4,2,1,7
"57",0,0,0,91.8333333333333,0,19,FALSE,TRUE,3,4,4,1,7,4
"58",1,0,0,68,0,21,FALSE,TRUE,1,1,7,1,7,1
"59",0,0,1,89.8333333333333,0,20,FALSE,TRUE,4,1,1,4,1,7
"60",0,1,0,91.3333333333333,1,19,TRUE,FALSE,6,6,1,2,4,3
"61",0,1,0,87.1666666666667,1,21,FALSE,TRUE,2,3,4,4,3,1
"62",0,0,1,52.8333333333333,1,20,FALSE,TRUE,4,1,1,6,1,5
"63",0,1,0,81.6666666666667,0,19,FALSE,TRUE,6,6,1,1,1,7
"64",0,1,0,61.8333333333333,1,19,FALSE,TRUE,5,3,1,3,1,4
"65",0,0,1,73.3333333333333,0,20,FALSE,TRUE,4,1,1,7,1,4
"66",1,0,0,78.1666666666667,0,21,FALSE,TRUE,3,5,5,1,5,3
"67",0,0,0,91.3333333333333,0,24,FALSE,FALSE,1,1,7,7,7,1
"68",0,0,0,75.5,1,19,FALSE,FALSE,1,1,7,4,7,1
"69",1,0,0,48.8,1,20,FALSE,TRUE,1,1,7,1,5,1
"70",0,0,1,63.1666666666667,0,21,FALSE,TRUE,4,4,4,6,4,5
"71",0,0,0,65.5,1,19,FALSE,FALSE,1,1,7,1,7,1
"72",0,0,0,79.1666666666667,1,19,FALSE,FALSE,6,5,4,3,1,3
"73",0,1,0,67.6666666666667,0,19,FALSE,TRUE,6,5,5,6,2,6
"74",0,0,1,90.2,0,20,TRUE,FALSE,4,1,1,4,1,7
"75",0,0,0,39.8333333333333,1,20,TRUE,FALSE,7,5,2,2,1,6
"76",1,0,0,65.5,0,21,FALSE,TRUE,1,1,7,1,7,1
"77",0,0,1,47.1666666666667,0,19,FALSE,TRUE,4,4,4,7,1,2
"78",1,0,0,68.8333333333333,0,22,FALSE,TRUE,2,5,4,4,6,1
"79",0,0,1,59.1666666666667,1,21,TRUE,FALSE,4,1,5,7,1,4
"80",0,1,0,40.8333333333333,1,20,FALSE,TRUE,5,5,4,1,5,5
"81",1,0,0,88.4,0,19,FALSE,TRUE,1,1,7,1,7,1
"82",0,0,1,62.1666666666667,1,19,FALSE,TRUE,4,1,1,7,1,5
"83",0,0,0,76.6,1,29,TRUE,FALSE,1,2,7,1,4,1
"84",0,1,0,79.1666666666667,0,18,FALSE,TRUE,7,7,1,4,1,7
"85",0,0,1,65.8333333333333,1,19,FALSE,TRUE,1,2,1,3,6,2
"86",1,0,0,62.5,1,22,TRUE,FALSE,1,1,4,1,7,1
"87",0,1,0,45,1,20,FALSE,TRUE,6,5,6,1,2,5
"88",0,1,0,77.8333333333333,0,20,FALSE,TRUE,6,6,1,1,1,7
"89",0,0,1,63,1,20,FALSE,TRUE,4,1,1,7,1,7
"90",0,1,0,89,1,20,FALSE,TRUE,7,5,1,1,1,7
"91",0,0,0,87.3333333333333,0,19,FALSE,FALSE,1,1,7,1,7,1
"92",1,0,0,87.6666666666667,0,46,FALSE,TRUE,1,1,6,1,7,1
"93",0,1,0,85.4,1,22,FALSE,TRUE,4,5,1,1,1,1
"94",0,0,0,69.5,1,22,FALSE,FALSE,1,5,1,1,7,1
"95",0,0,1,58,1,23,FALSE,TRUE,5,1,1,4,1,4
