"","dummybitter","dummysweet","dummywater","javg","sex","age","policonserv","poliliberal","check_enjoy","check_sweet","check_bitter","check_neutral","check_disgusting","check_regular","study"
"1",1,0,0,90,0,20,0,1,1,1,7,1,7,1,7
"2",1,0,0,58,1,23,0,1,2,NA,6,2,3,1,7
"3",0,1,0,80.8333333333333,0,21,0,1,6,6,1,5,1,1,7
"4",0,0,1,60.6666666666667,0,22,0,1,5,1,1,7,1,6,7
"5",0,1,0,72,0,19,0,1,6,6,1,3,1,5,7
"6",1,0,0,89,0,22,0,1,1,1,7,6,7,1,7
"7",1,0,0,67.8333333333333,0,19,0,1,2,2,7,2,3,1,7
"8",0,0,1,62.8,1,38,0,0,NA,1,1,7,1,5,7
"9",0,1,0,95.8333333333333,0,19,0,1,5,6,1,NA,1,3,7
"10",0,0,1,79.5,0,19,0,1,NA,1,1,7,1,NA,7
"11",0,0,1,67.8333333333333,0,19,0,0,NA,1,1,7,1,6,7
"12",0,0,1,59.1666666666667,0,19,0,1,NA,1,1,7,1,6,7
"13",0,0,1,76.6,1,22,0,1,NA,1,1,7,1,NA,7
"14",0,1,0,61,0,18,0,1,2,6,1,2,5,1,7
"15",0,0,1,55.5,0,21,0,1,5,3,1,7,1,7,7
"16",0,0,1,73.6666666666667,1,20,0,1,5,1,1,NA,1,7,7
"17",0,1,0,80.5,0,20,0,1,5,6,1,3,1,4,7
"18",0,1,0,62.75,1,22,0,1,6,7,1,NA,1,1,7
"19",0,1,0,57.1666666666667,0,20,0,0,5,5,1,3,1,1,7
"20",0,0,1,70.2,0,21,0,0,NA,1,1,7,1,NA,7
"21",0,1,0,70.4,1,21,0,1,NA,NA,6,1,2,NA,7
"22",0,0,1,55.1666666666667,0,21,0,1,NA,1,1,7,1,5,7
"23",1,0,0,57.8333333333333,0,21,0,1,1,1,7,1,7,1,7
"24",0,0,1,80.3333333333333,0,21,0,0,NA,2,1,7,1,7,7
"25",1,0,0,57.8333333333333,0,18,0,1,1,1,7,1,6,1,7
"26",1,0,0,75.1666666666667,1,23,0,1,1,1,7,1,7,1,7
"27",1,0,0,67,0,19,0,1,1,1,7,1,7,1,7
"28",0,0,1,47.8333333333333,0,20,0,1,NA,1,1,7,1,7,7
"29",0,0,1,42,1,20,0,1,5,1,1,NA,1,7,7
"30",0,1,0,70,0,18,0,1,3,6,1,3,5,3,7
"31",1,0,0,64,1,21,0,0,1,1,7,1,6,1,7
"32",0,0,1,68.5,1,21,0,1,5,2,1,5,1,3,7
"33",0,0,1,72.6666666666667,0,18,0,1,4,2,5,3,1,7,7
"34",1,0,0,76.3333333333333,0,21,0,0,1,1,7,1,6,1,7
"35",1,0,0,70.3333333333333,0,21,0,1,1,2,6,2,3,1,7
"36",0,0,1,69.6666666666667,0,20,0,1,5,2,2,NA,2,2,7
"37",0,1,0,50.2,0,22,0,0,6,6,1,1,1,5,7
"38",0,0,1,70.2,0,20,0,0,7,1,1,7,1,7,7
"39",0,1,0,55.8333333333333,0,19,0,1,5,7,3,1,2,4,7
"40",0,0,1,53.6666666666667,0,21,0,1,6,1,1,7,1,7,7
"41",0,1,0,87,0,19,0,1,5,6,3,1,3,3,7
"42",0,1,0,78.8333333333333,0,21,0,1,6,6,1,2,1,NA,7
"43",0,0,1,41.4,0,22,0,0,NA,2,1,7,1,7,7
"44",0,1,0,65.1666666666667,1,21,0,1,5,6,3,3,1,4,7
"45",0,0,1,55.6,1,19,0,1,5,1,1,7,1,7,7
"46",1,0,0,67.1666666666667,0,21,0,1,1,1,6,NA,7,1,7
"47",0,1,0,50.5,0,21,0,1,7,7,1,1,1,6,7
"48",0,1,0,58.6666666666667,1,21,0,1,3,5,1,2,4,1,7
"49",0,0,1,74.1666666666667,1,22,0,1,6,3,1,7,1,7,7
"50",0,0,1,67.5,1,20,0,1,5,1,1,7,1,7,7
"51",0,0,1,51.5,1,19,0,0,NA,4,NA,7,1,7,7
"52",1,0,0,67.8333333333333,0,21,0,0,1,1,7,1,7,1,7
"53",0,1,0,66.1666666666667,0,22,0,1,7,6,2,1,1,5,7
"54",1,0,0,47.1666666666667,1,20,0,1,1,1,7,1,7,1,7
"55",0,0,1,62.1666666666667,1,21,0,1,6,1,1,7,1,7,7
"56",0,1,0,91,0,20,1,0,5,6,1,2,1,NA,7
"57",1,0,0,76.6,0,22,0,0,1,1,7,1,1,1,7
"58",0,1,0,46,0,18,0,1,5,6,1,1,3,1,7
"59",0,0,1,99.6,1,19,0,1,5,1,1,4,2,4,7
"60",0,1,0,90.3333333333333,1,18,0,0,5,5,1,3,1,NA,7
"61",0,1,0,74.5,0,21,0,1,6,6,1,1,1,6,7
"62",1,0,0,83.3333333333333,0,19,0,1,2,2,7,1,5,1,7
"63",0,0,1,87.5,1,20,0,0,7,1,1,7,1,7,7
"64",1,0,0,48.1666666666667,0,22,0,1,1,1,7,1,7,1,7
"65",0,1,0,79,0,21,0,1,6,7,1,2,1,5,7
"66",1,0,0,41.3333333333333,0,21,0,1,2,1,6,2,3,4,7
"67",1,0,0,75.8333333333333,1,19,0,1,1,1,7,1,7,1,7
"68",1,0,0,76,1,21,0,0,1,1,7,1,7,1,7
"69",0,1,0,92.2,0,20,0,1,2,5,2,2,NA,2,7
"70",0,1,0,35,0,20,0,1,5,5,3,5,2,2,7
"71",1,0,0,51.6,1,20,0,1,1,1,6,3,5,1,7
"72",1,0,0,77.8333333333333,0,18,0,1,1,1,7,1,7,1,7
"73",1,0,0,40,0,19,0,1,1,1,6,1,6,1,7
"74",0,1,0,76.3333333333333,1,20,1,0,5,6,NA,3,1,NA,7
"75",0,0,1,64.5,0,21,0,0,4,1,1,7,1,7,7
"76",0,0,1,68.1666666666667,0,22,0,1,NA,1,1,7,1,7,7
"77",0,1,0,58,0,20,0,1,6,6,1,1,1,2,7
"78",0,1,0,70.6666666666667,0,21,0,1,6,6,1,1,1,5,7
"79",0,0,1,74.1666666666667,0,19,0,1,NA,2,1,NA,1,7,7
"80",1,0,0,82.5,0,NA,0,0,NA,NA,NA,NA,NA,NA,7
"81",0,1,0,57.5,0,22,0,1,5,5,1,3,2,2,7
